IWI_IRQ_work_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RTR_APIC_ICR_read_retries_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;CAL_Function_call_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;TLB_TLB_shootdowns_CPU0;RTR_APIC_ICR_read_retries_CPU0;THR_Threshold_APIC_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;PMI_Performance_monitoring_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;PIN_Posted-interrupt_notification_event_CPU2;CAL_Function_call_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;TRM_Thermal_event_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;TRM_Thermal_event_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;RES_Rescheduling_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU2;PMI_Performance_monitoring_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MCP_Machine_check_polls_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;CAL_Function_call_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;RES_Rescheduling_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;MCE_Machine_check_exceptions_CPU2;LOC_Local_timer_interrupts_CPU1;MCP_Machine_check_polls_CPU2;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU1;12_IO-APIC_12-edge_i8042_CPU1;SPU_Spurious_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;timestamp_us;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;1_IO-APIC_1-edge_i8042_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;NPI_Nested_posted-interrupt_event_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;RES_Rescheduling_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;IWI_IRQ_work_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;IWI_IRQ_work_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU2;ERR_CPU0;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;MIS_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;12_IO-APIC_12-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;6_IO-APIC_6-edge_floppy_CPU2;LOC_Local_timer_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;TLB_TLB_shootdowns_CPU2;THR_Threshold_APIC_interrupts_CPU2
0;0;1;0;0;0;0;0;9835;0;0;;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;6;0;0;;0;0;;0;1;0;9834;0;0;0;0;433376;1;0;0;0;0;0;0;0;104;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57156;;0;364860;3;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;361942;;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;6;0;0;;0;0;;0;1;0;9834;0;0;0;0;433626;1;0;0;0;0;0;0;0;1001761;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57156;;0;365112;3;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;362193;;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;6;0;0;;0;0;;0;1;0;9834;0;0;0;0;433877;1;0;0;0;0;0;0;0;2002780;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57157;;0;365364;3;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;362444;;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;9;0;0;;0;0;;0;1;0;9834;0;0;0;0;434127;1;0;0;0;0;0;0;0;3003819;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57181;;0;365615;3;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;362696;;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;0;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;434990;1;0;0;0;0;0;0;0;4004847;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57182;0;0;365867;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;362947;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;2;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;436149;1;0;0;0;0;0;0;0;5005874;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57182;0;0;366119;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;363198;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;2;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;437340;1;0;0;0;0;0;0;0;6006911;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57182;0;0;366371;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;363450;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;2;0;0;0;0;0;0;0;0;0;0;50129;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;438534;1;0;0;0;0;0;0;0;7007925;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57182;0;0;366622;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;363701;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;2;0;0;0;0;0;0;0;0;0;0;50133;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;439726;1;0;0;0;0;0;0;0;8008955;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57212;0;0;366874;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;363952;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;3;0;0;0;0;0;0;0;0;0;0;50136;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;440918;1;0;0;0;0;0;0;0;9009985;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57243;0;0;367126;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;364203;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;9835;0;0;5;0;0;0;0;0;0;0;0;0;0;50136;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;9834;0;0;0;0;442114;1;0;0;0;0;0;0;0;10011010;0;0;0;0;0;9;0;0;0;0;0;0;0;0;57243;0;0;367376;3;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;364455;0;0;0;0;0;0;0;0
