24_PCI-MSI_49152-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIN_Posted-interrupt_notification_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU1;CAL_Function_call_interrupts_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU0;MCE_Machine_check_exceptions_CPU1;TRM_Thermal_event_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU2;NPI_Nested_posted-interrupt_event_CPU1;6_IO-APIC_6-edge_floppy_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;NPI_Nested_posted-interrupt_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;NMI_Non-maskable_interrupts_CPU2;LOC_Local_timer_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;MIS_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;IWI_IRQ_work_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;MCP_Machine_check_polls_CPU0;IWI_IRQ_work_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;PIN_Posted-interrupt_notification_event_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;1_IO-APIC_1-edge_i8042_CPU0;timestamp_us;MCP_Machine_check_polls_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PIN_Posted-interrupt_notification_event_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;SPU_Spurious_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;12_IO-APIC_12-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;6_IO-APIC_6-edge_floppy_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;ERR_CPU0;TLB_TLB_shootdowns_CPU2;RTR_APIC_ICR_read_retries_CPU2;1_IO-APIC_1-edge_i8042_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;TRM_Thermal_event_interrupts_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCP_Machine_check_polls_CPU1;CAL_Function_call_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU0;THR_Threshold_APIC_interrupts_CPU1;LOC_Local_timer_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU1;LOC_Local_timer_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;RTR_APIC_ICR_read_retries_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1
;0;0;0;0;0;0;;0;;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;361863;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56562;;0;0;9;101;1;3;0;1;0;2;0;0;0;0;7;0;0;0;0;0;15;0;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;;0;0;0;359075;0;0;0;0;0;0;0;0;53234;0;430380;0;0;0;0;0
;0;0;0;0;0;0;;0;;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;362115;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56562;;0;0;9;1001739;1;3;0;1;0;2;0;0;0;0;7;0;0;0;0;0;15;0;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;;0;0;0;359326;0;0;0;0;0;0;0;0;53234;0;430630;0;0;0;0;0
;0;0;0;0;0;0;;0;;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;362367;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56563;;0;0;9;2002754;1;3;0;1;0;2;0;0;0;0;7;0;0;0;0;0;15;0;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;;0;0;0;359577;0;0;0;0;0;0;0;0;53234;0;430881;0;0;0;0;0
;0;0;0;0;0;0;;0;;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;362618;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56587;;0;0;9;3003794;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;;0;0;0;359829;0;0;0;0;0;0;0;0;53234;0;431131;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;362870;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56587;0;0;0;9;4004820;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;360080;0;0;0;0;0;0;0;0;53234;0;432000;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;363121;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56587;2;0;0;9;5005849;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;360331;0;0;0;0;0;0;0;0;53234;0;433155;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;363371;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56587;2;0;0;9;6006867;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;360582;0;0;0;0;0;0;0;0;53234;0;434351;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;363621;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56587;2;0;0;9;7007902;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;360834;0;0;0;0;0;0;0;0;53234;0;435545;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;363873;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56618;2;0;0;9;8008931;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;361085;0;0;0;0;0;0;0;0;53238;0;436740;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;364125;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56649;3;0;0;9;9009957;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;361336;0;0;0;0;0;0;0;0;53241;0;437935;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;9861;0;0;0;0;0;0;0;0;0;0;0;0;0;364375;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;56649;3;0;0;9;10010986;1;3;0;1;0;2;0;0;0;0;11;0;0;0;0;0;15;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9860;0;0;0;0;0;361587;0;0;0;0;0;0;0;0;53241;0;439130;0;0;0;0;0
