IWI_IRQ_work_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;RES_Rescheduling_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;MCP_Machine_check_polls_CPU2;1_IO-APIC_1-edge_i8042_CPU0;MIS_CPU0;ERR_CPU0;IWI_IRQ_work_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;TLB_TLB_shootdowns_CPU2;THR_Threshold_APIC_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;NPI_Nested_posted-interrupt_event_CPU0;TLB_TLB_shootdowns_CPU1;PIN_Posted-interrupt_notification_event_CPU2;NMI_Non-maskable_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;PMI_Performance_monitoring_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;MCE_Machine_check_exceptions_CPU0;LOC_Local_timer_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;NMI_Non-maskable_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;THR_Threshold_APIC_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;RES_Rescheduling_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;MCP_Machine_check_polls_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;timestamp_us;14_IO-APIC_14-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU1;6_IO-APIC_6-edge_floppy_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;RTR_APIC_ICR_read_retries_CPU2;NMI_Non-maskable_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;12_IO-APIC_12-edge_i8042_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;THR_Threshold_APIC_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;RES_Rescheduling_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;12_IO-APIC_12-edge_i8042_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;MCP_Machine_check_polls_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PMI_Performance_monitoring_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;6_IO-APIC_6-edge_floppy_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;PMI_Performance_monitoring_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;RTR_APIC_ICR_read_retries_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;TRM_Thermal_event_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;TLB_TLB_shootdowns_CPU0;SPU_Spurious_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0
0;0;6;0;;1;9;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433075;0;0;62840;0;0;0;0;0;0;0;;0;3;0;1;0;103;0;0;0;0;0;0;0;0;0;0;;56643;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;;0;0;0;0;1;0;0;9837;0;0;9838;0;363322;0;0;0;0;0;0;0;363203;0;0;3;0
0;0;6;0;;1;9;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433326;0;0;62840;0;0;0;0;0;0;0;;0;3;0;1;0;1001754;0;0;0;0;0;0;0;0;0;0;;56643;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;;0;0;0;0;1;0;0;9837;0;0;9838;0;363572;0;0;0;0;0;0;0;363456;0;0;3;0
0;0;6;0;;1;9;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433576;0;0;62840;0;0;0;0;0;0;0;;0;3;0;1;0;2002768;0;0;0;0;0;0;0;0;0;0;;56644;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;;0;0;0;0;1;0;0;9837;0;0;9838;0;363823;0;0;0;0;0;0;0;363708;0;0;3;0
0;0;6;0;;1;9;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433826;0;0;62840;0;0;0;0;0;0;0;;0;7;0;1;0;3003807;0;0;0;0;0;0;0;0;0;0;;56669;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;;0;0;0;0;1;0;0;9837;0;0;9838;0;364073;0;0;0;0;0;0;0;363960;0;0;3;0
0;0;6;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434693;0;0;62840;0;0;0;0;0;0;0;0;0;7;0;1;0;4004846;0;0;0;0;0;0;0;0;0;0;0;56670;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;364325;0;0;0;0;0;0;0;364212;0;0;3;0
0;0;6;0;2;1;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435849;0;0;62840;0;0;0;0;0;0;0;0;0;7;0;1;0;5005859;0;0;0;0;0;0;0;0;0;0;0;56670;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;364575;0;0;0;0;0;0;0;364464;0;0;3;0
0;0;6;0;2;1;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437037;0;0;62840;0;0;0;0;0;0;0;0;0;8;0;1;0;6006875;0;0;0;0;0;0;0;0;0;0;0;56670;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;364825;0;0;0;0;0;0;0;364716;0;0;3;0
0;0;6;0;2;1;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438228;0;0;62840;0;0;0;0;0;0;0;0;0;8;0;1;0;7007904;0;0;0;0;0;0;0;0;0;0;0;56670;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;365076;0;0;0;0;0;0;0;364967;0;0;3;0
0;0;6;0;2;1;9;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439418;0;0;62844;0;0;0;0;0;0;0;0;0;8;0;1;0;8008935;0;0;0;0;0;0;0;0;0;0;0;56701;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;365328;0;0;0;0;0;0;0;365218;0;0;3;0
0;0;6;0;3;1;9;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440607;0;0;62846;0;0;0;0;0;0;0;0;0;8;0;1;0;9009963;0;0;0;0;0;0;0;0;0;0;0;56732;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;365579;0;0;0;0;0;0;0;365470;0;0;3;0
0;0;6;0;5;1;9;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441795;0;0;62846;0;0;0;0;0;0;0;0;0;8;0;1;0;10010988;0;0;0;0;0;0;0;0;0;0;0;56732;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;9837;0;0;9838;0;365829;0;0;0;0;0;0;0;365722;0;0;3;0
