10_IO-APIC_10-fasteoi_virtio2_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;THR_Threshold_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;LOC_Local_timer_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;NPI_Nested_posted-interrupt_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RES_Rescheduling_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;CAL_Function_call_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PMI_Performance_monitoring_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;MIS_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;MCE_Machine_check_exceptions_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;CAL_Function_call_interrupts_CPU2;MCP_Machine_check_polls_CPU1;ERR_CPU0;TLB_TLB_shootdowns_CPU2;NMI_Non-maskable_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;MCP_Machine_check_polls_CPU2;CAL_Function_call_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;PIN_Posted-interrupt_notification_event_CPU0;NPI_Nested_posted-interrupt_event_CPU2;SPU_Spurious_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;RES_Rescheduling_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU2;1_IO-APIC_1-edge_i8042_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;MCP_Machine_check_polls_CPU0;RTR_APIC_ICR_read_retries_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;1_IO-APIC_1-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;timestamp_us;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;TRM_Thermal_event_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;12_IO-APIC_12-edge_i8042_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;PMI_Performance_monitoring_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;1_IO-APIC_1-edge_i8042_CPU0;RES_Rescheduling_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;TLB_TLB_shootdowns_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;RTR_APIC_ICR_read_retries_CPU1;6_IO-APIC_6-edge_floppy_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;NPI_Nested_posted-interrupt_event_CPU1;RTR_APIC_ICR_read_retries_CPU0;12_IO-APIC_12-edge_i8042_CPU1;THR_Threshold_APIC_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1
0;53251;0;0;0;427603;0;0;0;0;0;4;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;15;9830;1;0;0;0;;0;0;1;0;0;0;0;0;356341;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;;101;0;0;0;0;0;0;;0;0;0;9;56711;0;0;0;358984;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;427854;0;0;0;0;0;4;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;15;9830;1;0;0;0;;0;0;1;0;0;0;0;0;356593;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;;1001747;0;0;0;0;0;0;;0;0;0;9;56711;0;0;0;359236;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;428104;0;0;0;0;0;4;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;15;9830;1;0;0;0;;0;0;1;0;0;0;0;0;356844;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;;2002746;0;0;0;0;0;0;;0;0;0;9;56712;0;0;0;359488;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;428354;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;15;9830;1;0;0;0;;0;0;1;0;0;0;0;0;357095;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;;3003784;0;0;0;0;0;0;;0;0;0;9;56736;0;0;0;359739;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;429216;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;0;0;0;1;0;0;0;0;0;357346;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;4004810;0;0;0;0;0;0;0;0;0;0;9;56736;0;0;0;359992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;430379;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;2;0;0;1;0;0;0;0;0;357598;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;5005837;0;0;0;0;0;0;0;0;0;0;9;56736;0;0;0;360242;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;431573;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;2;0;0;1;0;0;0;0;0;357849;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;6006853;0;0;0;0;0;0;0;0;0;0;9;56736;0;0;0;360492;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53251;0;0;0;432767;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;2;0;0;1;0;0;0;0;0;358100;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;7007885;0;0;0;0;0;0;0;0;0;0;9;56736;0;0;0;360744;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53256;0;0;0;433962;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;2;0;0;1;0;0;0;0;0;358351;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;8008912;0;0;0;0;0;0;0;0;0;0;9;56766;0;0;0;360996;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53259;0;0;0;435158;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;3;0;0;1;0;0;0;0;0;358603;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;9009941;0;0;0;0;0;0;0;0;0;0;9;56797;0;0;0;361248;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
0;53259;0;0;0;436353;0;0;0;0;0;8;0;9831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9830;1;0;0;0;4;0;0;1;0;0;0;0;0;358854;0;5;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;10010965;0;0;0;0;0;0;0;0;0;0;9;56797;0;0;0;361498;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
