PIN_Posted-interrupt_notification_event_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU0;timestamp_us;DFR_Deferred_Error_APIC_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;MCP_Machine_check_polls_CPU1;NPI_Nested_posted-interrupt_event_CPU2;1_IO-APIC_1-edge_i8042_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;IWI_IRQ_work_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;PIN_Posted-interrupt_notification_event_CPU1;PMI_Performance_monitoring_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TLB_TLB_shootdowns_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;12_IO-APIC_12-edge_i8042_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;MCE_Machine_check_exceptions_CPU1;LOC_Local_timer_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;NMI_Non-maskable_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;NPI_Nested_posted-interrupt_event_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;6_IO-APIC_6-edge_floppy_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;MCP_Machine_check_polls_CPU0;SPU_Spurious_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;RES_Rescheduling_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCP_Machine_check_polls_CPU2;CAL_Function_call_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;THR_Threshold_APIC_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;TRM_Thermal_event_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;TLB_TLB_shootdowns_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;RTR_APIC_ICR_read_retries_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;CAL_Function_call_interrupts_CPU2;SPU_Spurious_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU1;TRM_Thermal_event_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;CAL_Function_call_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;LOC_Local_timer_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;NMI_Non-maskable_interrupts_CPU0;ERR_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;IWI_IRQ_work_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;RTR_APIC_ICR_read_retries_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU2;MIS_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0
0;0;0;0;106;0;362370;0;0;1;0;0;0;62716;0;0;6;2;;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;365235;0;0;0;0;0;0;0;0;0;0;1;0;0;56732;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;;0;0;0;;0;0;0;0;0;0;0;433655;0;0;15;0;0;;0;0;0;0;;0;0;0;0
0;0;0;0;1001745;0;362621;0;0;1;0;0;0;62716;0;0;6;2;;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;365487;0;0;0;0;0;0;0;0;0;0;1;0;0;56732;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;;0;0;0;;0;0;0;0;0;0;0;433905;0;0;15;0;0;;0;0;0;0;;0;0;0;0
0;0;0;0;2002761;0;362873;0;0;1;0;0;0;62716;0;0;6;2;;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;365739;0;0;0;0;0;0;0;0;0;0;1;0;0;56733;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;;0;0;0;;0;0;0;0;0;0;0;434156;0;0;15;0;0;;0;0;0;0;;0;0;0;0
0;0;0;0;3003800;0;363124;0;0;1;0;0;0;62716;0;0;11;2;;0;0;0;0;0;0;0;0;;3;0;0;0;0;0;0;0;0;0;0;365990;0;0;0;0;0;0;0;0;0;0;1;0;0;56758;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;;0;0;0;;0;0;0;0;0;0;0;434406;0;0;15;0;0;;0;0;0;0;;0;0;0;0
0;0;0;0;4004824;0;363375;0;0;1;0;0;0;62716;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;366242;0;0;0;0;0;0;0;0;0;0;1;0;0;56758;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435274;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;5005852;0;363626;0;0;1;0;0;0;62716;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;366495;0;0;0;0;0;0;0;0;0;0;1;0;0;56758;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436428;0;0;15;0;0;2;0;0;0;0;2;0;0;0;0
0;0;0;0;6006873;0;363878;0;0;1;0;0;0;62716;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;366746;0;0;0;0;0;0;0;0;0;0;1;0;0;56758;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437619;0;0;15;0;0;2;0;0;0;0;2;0;0;0;0
0;0;0;0;7007899;0;364129;0;0;1;0;0;0;62716;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;366997;0;0;0;0;0;0;0;0;0;0;1;0;0;56758;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438808;0;0;15;0;0;2;0;0;0;0;2;0;0;0;0
0;0;0;0;8008932;0;364380;0;0;1;0;0;0;62721;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;367249;0;0;0;0;0;0;0;0;0;0;1;0;0;56788;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439998;0;0;15;0;0;2;0;0;0;0;2;0;0;0;0
0;0;0;0;9009958;0;364631;0;0;1;0;0;0;62724;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;367502;0;0;0;0;0;0;0;0;0;0;1;0;0;56819;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441191;0;0;15;0;0;3;0;0;0;0;4;0;0;0;0
0;0;0;0;10010983;0;364883;0;0;1;0;0;0;62724;0;0;11;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;367753;0;0;0;0;0;0;0;0;0;0;1;0;0;56819;1;1;9872;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442383;0;0;15;0;0;4;0;0;0;0;5;0;0;0;0
