14_IO-APIC_14-edge_ata_piix_CPU0;1_IO-APIC_1-edge_i8042_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;TLB_TLB_shootdowns_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;12_IO-APIC_12-edge_i8042_CPU1;NPI_Nested_posted-interrupt_event_CPU1;RES_Rescheduling_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;MIS_CPU0;MCP_Machine_check_polls_CPU0;NMI_Non-maskable_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;LOC_Local_timer_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;timestamp_us;1_IO-APIC_1-edge_i8042_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;12_IO-APIC_12-edge_i8042_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;TRM_Thermal_event_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;PMI_Performance_monitoring_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU2;SPU_Spurious_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;TRM_Thermal_event_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;MCP_Machine_check_polls_CPU2;PMI_Performance_monitoring_interrupts_CPU1;CAL_Function_call_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;RTR_APIC_ICR_read_retries_CPU0;SPU_Spurious_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU0;MCE_Machine_check_exceptions_CPU1;MCE_Machine_check_exceptions_CPU0;IWI_IRQ_work_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PIN_Posted-interrupt_notification_event_CPU1;RES_Rescheduling_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;RTR_APIC_ICR_read_retries_CPU2;THR_Threshold_APIC_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;NPI_Nested_posted-interrupt_event_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;TLB_TLB_shootdowns_CPU2;6_IO-APIC_6-edge_floppy_CPU1;ERR_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;12_IO-APIC_12-edge_i8042_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;IWI_IRQ_work_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;RES_Rescheduling_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;LOC_Local_timer_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU1;MCP_Machine_check_polls_CPU1
0;9;0;0;0;0;0;0;0;0;56588;0;0;0;0;0;0;0;1;0;0;0;;0;431115;0;0;103;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;362513;0;0;6;0;0;;0;0;0;0;1;;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;3;0;;0;0;359705;0;1
0;9;0;0;0;0;0;0;0;0;56588;0;0;0;0;0;0;0;1;0;0;0;;0;431366;0;0;1001762;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;362765;0;0;6;0;0;;0;0;0;0;1;;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;3;0;;0;0;359956;0;1
0;9;0;0;0;0;0;0;0;0;56589;0;0;0;0;0;0;0;1;0;0;0;;0;431616;0;0;2002775;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;363017;0;0;6;0;0;;0;0;0;0;1;;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;3;0;;0;0;360208;0;1
0;9;0;0;0;0;0;0;0;0;56615;0;0;0;0;0;0;0;1;0;0;0;;0;431866;0;0;3003813;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;363268;0;0;6;0;0;;0;0;0;0;1;;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;6;0;;0;0;360459;0;1
0;9;0;0;0;0;0;0;0;0;56615;0;0;0;0;0;0;0;1;0;0;0;0;0;432732;0;0;4004829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;363520;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;7;0;0;0;0;360710;0;1
0;9;0;0;0;0;0;0;0;0;56615;0;0;0;0;0;0;0;1;0;0;0;2;0;433888;0;0;5005861;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;363772;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;7;0;0;0;0;360961;0;1
0;9;0;0;0;0;0;0;0;0;56615;0;0;0;0;0;0;0;1;0;0;0;2;0;435083;0;0;6006871;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;364022;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;7;0;0;0;0;361213;0;1
0;9;0;0;0;0;0;0;0;0;56615;0;0;0;0;0;0;0;1;0;0;0;2;0;436279;0;0;7007896;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;364272;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58128;0;0;0;0;0;0;0;7;0;0;0;0;361464;0;1
0;9;0;0;0;0;0;0;0;0;56645;0;0;0;0;0;0;0;1;0;0;0;2;0;437474;0;0;8008919;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;364523;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58133;0;0;0;0;0;0;0;7;0;0;0;0;361715;0;1
0;9;0;0;0;0;0;0;0;0;56676;0;0;0;0;0;0;0;1;0;0;0;4;0;438670;0;0;9009953;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;364776;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58136;0;0;0;0;0;0;0;7;0;0;0;0;361966;0;1
0;9;0;0;0;0;0;0;0;0;56676;0;0;0;0;0;0;0;1;0;0;0;4;0;439865;0;0;10010969;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;9826;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;9827;0;0;0;0;0;0;2;0;0;0;365027;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;15;58136;0;0;0;0;0;0;0;7;0;0;0;0;362218;0;1
