timestamp_us;9_IO-APIC_9-fasteoi_acpi_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;PMI_Performance_monitoring_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;TRM_Thermal_event_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;SPU_Spurious_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU2;1_IO-APIC_1-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;IWI_IRQ_work_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;RES_Rescheduling_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;TRM_Thermal_event_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PIN_Posted-interrupt_notification_event_CPU1;NMI_Non-maskable_interrupts_CPU2;LOC_Local_timer_interrupts_CPU1;MIS_CPU0;IWI_IRQ_work_interrupts_CPU2;ERR_CPU0;SPU_Spurious_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;MCP_Machine_check_polls_CPU2;LOC_Local_timer_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;MCE_Machine_check_exceptions_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;MCP_Machine_check_polls_CPU0;TLB_TLB_shootdowns_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;NPI_Nested_posted-interrupt_event_CPU0;RTR_APIC_ICR_read_retries_CPU2;1_IO-APIC_1-edge_i8042_CPU2;12_IO-APIC_12-edge_i8042_CPU0;MCP_Machine_check_polls_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;TLB_TLB_shootdowns_CPU2;12_IO-APIC_12-edge_i8042_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;6_IO-APIC_6-edge_floppy_CPU0;NPI_Nested_posted-interrupt_event_CPU1;6_IO-APIC_6-edge_floppy_CPU2;MCE_Machine_check_exceptions_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;THR_Threshold_APIC_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;TRM_Thermal_event_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;CAL_Function_call_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;RES_Rescheduling_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;NPI_Nested_posted-interrupt_event_CPU2
100;0;0;0;0;0;0;;360487;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;56319;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;428839;0;0;0;0;0;0;0;1;357676;0;49429;0;;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;0;0;9791;5;0;0;9792;0;0;0;0;0
1001725;0;0;0;0;0;0;;360738;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;56319;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;429089;0;0;0;0;0;0;0;1;357927;0;49429;0;;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;0;0;9791;5;0;0;9792;0;0;0;0;0
2002743;0;0;0;0;0;0;;360991;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;56320;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;429340;0;0;0;0;0;0;0;1;358178;0;49429;0;;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;0;0;9791;5;0;0;9792;0;0;0;0;0
3003779;0;0;0;0;0;0;;361243;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;56344;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;429590;0;0;0;0;0;0;0;1;358430;0;49429;0;;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;0;0;9791;8;0;0;9792;0;0;0;0;0
4004807;0;0;0;0;0;0;0;361495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56345;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;430457;0;0;0;0;0;0;0;1;358681;0;49429;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
5005834;0;0;0;0;0;0;0;361746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56345;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;431610;0;0;0;0;0;0;0;1;358932;0;49429;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
6006857;0;0;0;0;0;0;0;361998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56345;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;432805;0;0;0;0;0;0;0;1;359183;0;49429;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
7007882;0;0;0;0;0;0;0;362249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56345;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;433993;0;0;0;0;0;0;0;1;359435;0;49429;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
8008914;0;0;0;0;0;0;0;362501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56375;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;435187;0;0;0;0;0;0;0;1;359686;0;49433;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
9009941;0;0;0;0;0;0;0;362753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56405;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;436379;0;0;0;0;0;0;0;1;359937;0;49435;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
10010963;0;0;0;0;0;0;0;363006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;56405;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;437573;0;0;0;0;0;0;0;1;360188;0;49435;0;0;1;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;9791;9;0;0;9792;0;0;0;0;0
