12_IO-APIC_12-edge_i8042_CPU1;MCP_Machine_check_polls_CPU0;ERR_CPU0;TRM_Thermal_event_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;PMI_Performance_monitoring_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;1_IO-APIC_1-edge_i8042_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;LOC_Local_timer_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;IWI_IRQ_work_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;CAL_Function_call_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;THR_Threshold_APIC_interrupts_CPU1;MCP_Machine_check_polls_CPU2;PIN_Posted-interrupt_notification_event_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;timestamp_us;TRM_Thermal_event_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;RES_Rescheduling_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;THR_Threshold_APIC_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;12_IO-APIC_12-edge_i8042_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;PIN_Posted-interrupt_notification_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;RTR_APIC_ICR_read_retries_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;IWI_IRQ_work_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;RTR_APIC_ICR_read_retries_CPU1;NMI_Non-maskable_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;NPI_Nested_posted-interrupt_event_CPU2;CAL_Function_call_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;THR_Threshold_APIC_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;MCE_Machine_check_exceptions_CPU0;6_IO-APIC_6-edge_floppy_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;IWI_IRQ_work_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;MCE_Machine_check_exceptions_CPU2;6_IO-APIC_6-edge_floppy_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;NMI_Non-maskable_interrupts_CPU2;RES_Rescheduling_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;MCE_Machine_check_exceptions_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;MCP_Machine_check_polls_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;MIS_CPU0;6_IO-APIC_6-edge_floppy_CPU2;TRM_Thermal_event_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU0;RES_Rescheduling_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;;0;172628;172643;0;0;0;;8907;0;0;1;0;0;0;117;0;0;42394;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173944;3;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;0;0;0;0;0;0;;0;0;0;1;43949;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;;0;172879;172893;0;0;0;;8907;0;0;1;0;0;0;1001759;0;0;42394;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174194;3;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;0;0;0;0;0;0;;0;0;0;1;43949;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;;0;173130;173144;0;0;0;;8907;0;0;1;0;0;0;2002778;0;0;42395;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174446;3;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;0;0;2;0;0;0;0;0;0;0;0;;0;0;0;1;43949;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;173382;173381;0;0;0;0;8907;0;0;1;0;0;0;3003809;0;0;42454;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174699;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43953;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;173633;173631;0;0;0;0;8907;0;0;1;0;0;0;4004833;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174950;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;173884;173881;0;0;0;0;8907;0;0;1;0;0;0;5005859;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175201;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;174135;174132;0;0;0;0;8907;0;0;1;0;0;0;6006885;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175451;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;174387;174382;0;0;0;0;8907;0;0;1;0;0;0;7007915;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175701;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;174638;174632;0;0;0;0;8907;0;0;1;0;0;0;8008927;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175951;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;174889;174882;0;0;0;0;8907;0;0;1;0;0;0;9009959;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176202;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;175140;175133;0;0;0;0;8907;0;0;1;0;0;0;10010982;0;0;42489;0;0;1;0;8906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176452;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;43956;0;0;0;0;0;0;9;0;0
