PMI_Performance_monitoring_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU0;MCP_Machine_check_polls_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;RES_Rescheduling_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;1_IO-APIC_1-edge_i8042_CPU0;TLB_TLB_shootdowns_CPU0;NMI_Non-maskable_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;PIN_Posted-interrupt_notification_event_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;RTR_APIC_ICR_read_retries_CPU0;6_IO-APIC_6-edge_floppy_CPU1;NMI_Non-maskable_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;TRM_Thermal_event_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;6_IO-APIC_6-edge_floppy_CPU2;SPU_Spurious_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCE_Machine_check_exceptions_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;IWI_IRQ_work_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;MCP_Machine_check_polls_CPU2;PMI_Performance_monitoring_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;RES_Rescheduling_interrupts_CPU2;MCP_Machine_check_polls_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU2;SPU_Spurious_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;IWI_IRQ_work_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;timestamp_us;LOC_Local_timer_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;THR_Threshold_APIC_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;CAL_Function_call_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;TRM_Thermal_event_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU2;SPU_Spurious_interrupts_CPU0;TLB_TLB_shootdowns_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;CAL_Function_call_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;NMI_Non-maskable_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU2;ERR_CPU0;MCE_Machine_check_exceptions_CPU2;MIS_CPU0;NPI_Nested_posted-interrupt_event_CPU1;RES_Rescheduling_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;PIN_Posted-interrupt_notification_event_CPU2;MCE_Machine_check_exceptions_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2
0;0;1;;10;0;0;0;0;9;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;0;0;3;0;;0;0;0;;0;0;390725;15;101;391466;0;0;0;0;44627;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45306;0;0;0;0;;389867;0;0;0;0;0;0;0;0;0
0;0;1;;10;0;0;0;0;9;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;0;0;3;0;;0;0;0;;0;0;390977;15;1001742;391717;0;0;0;0;44627;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45306;0;0;0;0;;390118;0;0;0;0;0;0;0;0;0
0;0;1;;10;0;0;0;0;9;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;0;0;3;0;;0;0;0;;0;0;391228;15;2002760;391968;0;0;0;0;44627;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45307;0;0;0;0;;390368;0;0;0;0;0;0;0;0;0
0;0;1;2;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;391479;15;3003792;392220;0;0;0;0;44632;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45370;0;0;0;0;0;390605;0;0;0;0;0;0;0;0;0
0;0;1;3;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;391730;15;4004815;392473;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;390856;0;0;0;0;0;0;0;0;0
0;0;1;5;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;391982;15;5005844;392723;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;391106;0;0;0;0;0;0;0;0;0
0;0;1;5;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;392233;15;6006869;392973;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;391356;0;0;0;0;0;0;0;0;0
0;0;1;6;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;392484;15;7007896;393223;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;391606;0;0;0;0;0;0;0;0;0
0;0;1;6;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;392735;15;8008922;393474;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;391857;0;0;0;0;0;0;0;0;0
0;0;1;6;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;392987;15;9009943;393724;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;392107;0;0;0;0;0;0;0;0;0
0;0;1;6;10;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8906;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;393238;15;10010959;393974;0;0;0;0;44634;8907;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;45403;0;0;0;0;0;392357;0;0;0;0;0;0;0;0;0
