6_IO-APIC_6-edge_floppy_CPU2;TRM_Thermal_event_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;1_IO-APIC_1-edge_i8042_CPU1;RES_Rescheduling_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;MCP_Machine_check_polls_CPU2;RTR_APIC_ICR_read_retries_CPU2;LOC_Local_timer_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;RTR_APIC_ICR_read_retries_CPU0;12_IO-APIC_12-edge_i8042_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;SPU_Spurious_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;SPU_Spurious_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;NMI_Non-maskable_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;NMI_Non-maskable_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;IWI_IRQ_work_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RES_Rescheduling_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;IWI_IRQ_work_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;timestamp_us;PIW_Posted-interrupt_wakeup_event_CPU0;MCP_Machine_check_polls_CPU1;SPU_Spurious_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;ERR_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;MCP_Machine_check_polls_CPU0;RTR_APIC_ICR_read_retries_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;LOC_Local_timer_interrupts_CPU1;CAL_Function_call_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;CAL_Function_call_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;NPI_Nested_posted-interrupt_event_CPU1;PMI_Performance_monitoring_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCE_Machine_check_exceptions_CPU1;TLB_TLB_shootdowns_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;MIS_CPU0;NPI_Nested_posted-interrupt_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PIN_Posted-interrupt_notification_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;6_IO-APIC_6-edge_floppy_CPU0;12_IO-APIC_12-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;TRM_Thermal_event_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1
0;0;0;0;0;0;52672;0;0;1;0;939486;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;3;0;;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;9;0;101;0;1;0;0;0;0;0;46320;0;0;0;0;0;0;0;938792;0;0;1;0;0;0;0;936461;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52672;0;0;1;0;939738;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;3;0;;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;9;0;1001719;0;1;0;0;0;0;0;46320;0;0;0;0;0;0;0;939043;0;0;1;0;0;0;0;936712;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52673;0;0;1;0;939989;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;3;0;;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;9;0;2002735;0;1;0;0;0;0;0;46320;0;0;0;0;0;0;0;939294;0;0;1;0;0;0;0;936962;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52734;0;0;1;0;940240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3003769;0;1;0;0;0;0;0;46324;0;0;0;0;0;0;0;939546;0;0;1;0;0;0;0;937200;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;940491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;4004797;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;939798;0;0;1;0;0;0;0;937450;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;940743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;5005822;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;940048;0;0;1;0;0;0;0;937701;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;940994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;6006850;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;940299;0;0;1;0;0;0;0;937951;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;941245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;7007863;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;940549;0;0;1;0;0;0;0;938201;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;941496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;8008900;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;940800;0;0;1;0;0;0;0;938452;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;941748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9009915;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;941050;0;0;1;0;0;0;0;938702;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
0;0;0;0;0;0;52768;0;0;1;0;941999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;10010935;0;1;0;0;0;0;0;46327;0;0;0;0;0;0;0;941300;0;0;1;0;0;0;0;938952;8907;0;0;0;8906;0;0;0;0;35;0;1;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0
