8_IO-APIC_8-edge_rtc0_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;ERR_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TRM_Thermal_event_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;CAL_Function_call_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;1_IO-APIC_1-edge_i8042_CPU1;IWI_IRQ_work_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;6_IO-APIC_6-edge_floppy_CPU0;TLB_TLB_shootdowns_CPU1;PIN_Posted-interrupt_notification_event_CPU0;LOC_Local_timer_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU0;TLB_TLB_shootdowns_CPU2;1_IO-APIC_1-edge_i8042_CPU2;12_IO-APIC_12-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;MCP_Machine_check_polls_CPU0;SPU_Spurious_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;MCP_Machine_check_polls_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;LOC_Local_timer_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;MCE_Machine_check_exceptions_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCE_Machine_check_exceptions_CPU2;MCE_Machine_check_exceptions_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;timestamp_us;SPU_Spurious_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU2;PMI_Performance_monitoring_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PIN_Posted-interrupt_notification_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;IWI_IRQ_work_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;RTR_APIC_ICR_read_retries_CPU2;6_IO-APIC_6-edge_floppy_CPU2;PIN_Posted-interrupt_notification_event_CPU1;12_IO-APIC_12-edge_i8042_CPU1;MIS_CPU0;IWI_IRQ_work_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;NPI_Nested_posted-interrupt_event_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;TRM_Thermal_event_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;CAL_Function_call_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;CAL_Function_call_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RTR_APIC_ICR_read_retries_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;TRM_Thermal_event_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;LOC_Local_timer_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;MCP_Machine_check_polls_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;SPU_Spurious_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0
0;0;;0;0;0;0;0;0;0;0;8907;0;0;0;0;42689;0;2;0;0;193467;0;0;0;15;0;1;1;0;0;0;0;1;0;194723;;0;0;0;0;0;;97;0;0;0;0;1;;0;0;0;3;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44011;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;193395;0;0;0;0;0;1;0;0;0;0;0
0;0;;0;0;0;0;0;0;0;0;8907;0;0;0;0;42689;0;2;0;0;193719;0;0;0;15;0;1;1;0;0;0;0;1;0;194974;;0;0;0;0;0;;1001740;0;0;0;0;1;;0;0;0;3;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44011;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;193646;0;0;0;0;0;1;0;0;0;0;0
0;0;;0;0;0;0;0;0;0;0;8907;0;0;0;0;42690;0;2;0;0;193970;0;0;0;15;0;1;1;0;0;0;0;1;0;195225;;0;0;0;0;0;;2002756;0;0;0;0;1;;0;0;0;3;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44011;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;193896;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42745;0;2;0;0;194221;0;0;0;15;0;1;1;0;0;0;0;1;0;195477;0;0;0;0;0;0;2;3003790;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44015;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;194132;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;194472;0;0;0;15;0;1;1;0;0;0;0;1;0;195730;0;0;0;0;0;0;4;4004818;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;194382;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;194724;0;0;0;15;0;1;1;0;0;0;0;1;0;195980;0;0;0;0;0;0;5;5005844;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;194633;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;194975;0;0;0;15;0;1;1;0;0;0;0;1;0;196230;0;0;0;0;0;0;5;6006868;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;194883;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;195226;0;0;0;15;0;1;1;0;0;0;0;1;0;196480;0;0;0;0;0;0;6;7007897;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;195133;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;195477;0;0;0;15;0;1;1;0;0;0;0;1;0;196731;0;0;0;0;0;0;6;8008916;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;195383;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;195729;0;0;0;15;0;1;1;0;0;0;0;1;0;196981;0;0;0;0;0;0;6;9009930;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;195634;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;8907;0;0;0;0;42777;0;2;0;0;195980;0;0;0;15;0;1;1;0;0;0;0;1;0;197232;0;0;0;0;0;0;6;10010955;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44018;0;0;0;0;8906;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;195884;0;0;0;0;0;1;0;0;0;0;0
