10_IO-APIC_10-fasteoi_virtio2_CPU0;MCP_Machine_check_polls_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;MCP_Machine_check_polls_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;PIN_Posted-interrupt_notification_event_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;PIN_Posted-interrupt_notification_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;RTR_APIC_ICR_read_retries_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;MIS_CPU0;LOC_Local_timer_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;RTR_APIC_ICR_read_retries_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU2;RES_Rescheduling_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;MCP_Machine_check_polls_CPU0;NPI_Nested_posted-interrupt_event_CPU0;THR_Threshold_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;MCE_Machine_check_exceptions_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TRM_Thermal_event_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU1;TLB_TLB_shootdowns_CPU0;IWI_IRQ_work_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;SPU_Spurious_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;ERR_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU1;LOC_Local_timer_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;timestamp_us;CAL_Function_call_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;12_IO-APIC_12-edge_i8042_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;PIN_Posted-interrupt_notification_event_CPU1;6_IO-APIC_6-edge_floppy_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;LOC_Local_timer_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;MCE_Machine_check_exceptions_CPU2;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;1_IO-APIC_1-edge_i8042_CPU1;NMI_Non-maskable_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;NPI_Nested_posted-interrupt_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;IWI_IRQ_work_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;SPU_Spurious_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;RES_Rescheduling_interrupts_CPU1
0;1;;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214363;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;44093;0;0;0;0;0;0;0;0;0;0;0;0;0;214523;0;8906;0;95;8907;0;15;3;0;0;0;0;2;0;215720;0;0;;0;42971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;2
0;1;;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214614;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;44093;0;0;0;0;0;0;0;0;0;0;0;0;0;214775;0;8906;0;1001708;8907;0;15;3;0;0;0;0;2;0;215971;0;0;;0;42971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;2
0;1;;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214864;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;44093;0;0;0;0;0;0;0;0;0;0;0;0;0;215026;0;8906;0;2002718;8907;0;15;3;0;0;0;0;2;0;216222;0;0;;0;42972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215101;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;44097;0;0;0;0;0;0;0;0;0;0;0;0;0;215277;0;8906;0;3003748;8907;0;15;3;0;0;0;0;2;0;216474;0;0;0;0;43032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215352;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;215528;0;8906;0;4004771;8907;0;15;3;0;0;0;0;2;0;216726;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215602;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;215780;0;8906;0;5005791;8907;0;15;3;0;0;0;0;2;0;216976;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215852;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;216031;0;8906;0;6006815;8907;0;15;3;0;0;0;0;2;0;217227;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;216282;0;8906;0;7007836;8907;0;15;3;0;0;0;0;2;0;217477;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216353;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;216533;0;8906;0;8008853;8907;0;15;3;0;0;0;0;2;0;217728;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216603;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;216785;0;8906;0;9009871;8907;0;15;3;0;0;0;0;2;0;217978;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
0;1;0;0;1;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216853;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;44099;0;0;0;0;0;0;0;0;0;0;0;0;0;217036;0;8906;0;10010886;8907;0;15;3;0;0;0;0;2;0;218228;0;0;0;0;43069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
