1_IO-APIC_1-edge_i8042_CPU1;PIN_Posted-interrupt_notification_event_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;LOC_Local_timer_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;IWI_IRQ_work_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;6_IO-APIC_6-edge_floppy_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;SPU_Spurious_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;MCE_Machine_check_exceptions_CPU1;NMI_Non-maskable_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;PIN_Posted-interrupt_notification_event_CPU1;RES_Rescheduling_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;CAL_Function_call_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU0;TLB_TLB_shootdowns_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;12_IO-APIC_12-edge_i8042_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;TRM_Thermal_event_interrupts_CPU0;MCP_Machine_check_polls_CPU0;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;RTR_APIC_ICR_read_retries_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;MCP_Machine_check_polls_CPU1;MIS_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;TRM_Thermal_event_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;RTR_APIC_ICR_read_retries_CPU2;PMI_Performance_monitoring_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;THR_Threshold_APIC_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;LOC_Local_timer_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;timestamp_us;THR_Threshold_APIC_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;CAL_Function_call_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;ERR_CPU0;TLB_TLB_shootdowns_CPU2;IWI_IRQ_work_interrupts_CPU1;MCP_Machine_check_polls_CPU2;MCE_Machine_check_exceptions_CPU0;NPI_Nested_posted-interrupt_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;SPU_Spurious_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;RES_Rescheduling_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2
0;0;0;0;0;;257273;0;;0;0;0;0;0;44211;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;256939;0;0;;0;0;0;0;0;43564;0;0;0;0;0;;0;0;0;0;0;0;0;;0;0;258359;0;0;9;0;;101;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;;257525;0;;0;0;0;0;0;44211;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;257190;0;0;;0;0;0;0;0;43564;0;0;0;0;0;;0;0;0;0;0;0;0;;0;0;258609;0;0;9;0;;1001750;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;;257776;0;;0;0;0;0;0;44211;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;257440;0;0;;0;0;0;0;0;43565;0;0;0;0;0;;0;0;0;0;0;0;0;;0;0;258860;0;0;9;0;;2002766;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;2;258027;0;2;0;0;0;0;0;44215;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;257676;0;0;0;0;0;0;0;0;43626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259113;0;0;9;0;0;3003799;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;3;258279;0;3;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;257927;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259364;0;0;9;0;0;4004825;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;4;258530;0;3;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;258177;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259615;0;0;9;0;0;5005851;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;5;258781;0;4;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;258427;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259866;0;0;9;0;0;6006879;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;6;259032;0;4;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;258677;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260117;0;0;9;0;0;7007904;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;6;259284;0;4;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;258928;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260367;0;0;9;0;0;8008928;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;6;259535;0;4;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;259178;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260617;0;0;9;0;0;9009956;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
0;0;0;0;0;6;259786;0;4;0;0;0;0;0;44218;0;0;0;0;0;0;4;0;0;0;0;0;0;8906;8907;0;0;3;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;259428;0;0;0;0;0;0;0;0;43660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260867;0;0;9;0;0;10010974;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;0;0;0;0
