TRM_Thermal_event_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCP_Machine_check_polls_CPU2;NPI_Nested_posted-interrupt_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;TLB_TLB_shootdowns_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;LOC_Local_timer_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;timestamp_us;8_IO-APIC_8-edge_rtc0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;IWI_IRQ_work_interrupts_CPU0;ERR_CPU0;MCP_Machine_check_polls_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;THR_Threshold_APIC_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU2;IWI_IRQ_work_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;RTR_APIC_ICR_read_retries_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;CAL_Function_call_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;NMI_Non-maskable_interrupts_CPU2;MIS_CPU0;SPU_Spurious_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;SPU_Spurious_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;PMI_Performance_monitoring_interrupts_CPU2;MCP_Machine_check_polls_CPU0;LOC_Local_timer_interrupts_CPU0;MCE_Machine_check_exceptions_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;TLB_TLB_shootdowns_CPU2;6_IO-APIC_6-edge_floppy_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;6_IO-APIC_6-edge_floppy_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;12_IO-APIC_12-edge_i8042_CPU1;RTR_APIC_ICR_read_retries_CPU2;RES_Rescheduling_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;RTR_APIC_ICR_read_retries_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;1_IO-APIC_1-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;CAL_Function_call_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;PIN_Posted-interrupt_notification_event_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;MCE_Machine_check_exceptions_CPU1;LOC_Local_timer_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;PMI_Performance_monitoring_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0
0;0;0;0;1;0;1;0;;0;0;44418;322735;7;101;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;;0;0;0;0;0;0;0;1;324243;0;0;0;0;0;;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44449;0;0;0;0;;9;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323333;0;0;0;0;0;0;0;
0;0;0;0;1;0;1;0;;0;0;44418;322986;7;1001724;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;;0;0;0;0;0;0;0;1;324494;0;0;0;0;0;;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44449;0;0;0;0;;9;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323584;0;0;0;0;0;0;0;
0;0;0;0;1;0;1;0;;0;0;44418;323236;7;2002739;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;;0;0;0;0;0;0;0;1;324745;0;0;0;0;0;;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44450;0;0;0;0;;9;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323836;0;0;0;0;0;0;0;
0;0;0;0;1;0;1;0;0;0;0;44422;323473;7;3003770;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;324998;0;0;0;0;0;2;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44508;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324087;0;0;0;0;0;0;0;2
0;0;0;0;1;0;1;0;0;0;0;44424;323723;7;4004798;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;325250;0;0;0;0;0;3;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324338;0;0;0;0;0;0;0;3
0;0;0;0;1;0;1;0;0;0;0;44424;323974;7;5005824;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;325500;0;0;0;0;0;3;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324590;0;0;0;0;0;0;0;3
0;0;0;0;1;0;1;0;0;0;0;44424;324224;7;6006854;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;325750;0;0;0;0;0;4;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324841;0;0;0;0;0;0;0;5
0;0;0;0;1;0;1;0;0;0;0;44424;324474;7;7007875;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;326000;0;0;0;0;0;4;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325092;0;0;0;0;0;0;0;5
0;0;0;0;1;0;1;0;0;0;0;44424;324724;7;8008903;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;326251;0;0;0;0;0;4;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325343;0;0;0;0;0;0;0;6
0;0;0;0;1;0;1;0;0;0;0;44424;324975;7;9009919;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;326501;0;0;0;0;0;4;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325595;0;0;0;0;0;0;0;6
0;0;0;0;1;0;1;0;0;0;0;44424;325225;7;10010944;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8906;0;8907;0;0;0;0;0;0;0;0;0;1;326751;0;0;0;0;0;4;3;0;0;0;0;15;0;2;0;0;0;0;0;0;0;0;0;44541;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325846;0;0;0;0;0;0;0;6
