RES_Rescheduling_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU2;THR_Threshold_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;PMI_Performance_monitoring_interrupts_CPU0;TLB_TLB_shootdowns_CPU1;1_IO-APIC_1-edge_i8042_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;MCE_Machine_check_exceptions_CPU2;MCP_Machine_check_polls_CPU1;NPI_Nested_posted-interrupt_event_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;LOC_Local_timer_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;IWI_IRQ_work_interrupts_CPU0;MCP_Machine_check_polls_CPU2;TLB_TLB_shootdowns_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;IWI_IRQ_work_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;12_IO-APIC_12-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;RES_Rescheduling_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;LOC_Local_timer_interrupts_CPU2;timestamp_us;RTR_APIC_ICR_read_retries_CPU0;MCE_Machine_check_exceptions_CPU0;CAL_Function_call_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;TRM_Thermal_event_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU1;12_IO-APIC_12-edge_i8042_CPU2;12_IO-APIC_12-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIN_Posted-interrupt_notification_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;TRM_Thermal_event_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU1;SPU_Spurious_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;MCP_Machine_check_polls_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;THR_Threshold_APIC_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;ERR_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;MIS_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;NMI_Non-maskable_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;6_IO-APIC_6-edge_floppy_CPU0;6_IO-APIC_6-edge_floppy_CPU2;PMI_Performance_monitoring_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;1_IO-APIC_1-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;SPU_Spurious_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;LOC_Local_timer_interrupts_CPU0
44739;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;344846;0;0;8907;0;0;0;1;0;0;0;0;0;;3;15;0;0;0;0;0;0;8;0;345531;98;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;44479;0;0;;0;0;8906;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;346382
44739;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;345097;0;0;8907;0;0;0;1;0;0;0;0;0;;3;15;0;0;0;0;0;0;8;0;345782;1001727;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;44479;0;0;;0;0;8906;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;346633
44740;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;345347;0;0;8907;0;0;0;1;0;0;0;0;0;;3;15;0;0;0;0;0;0;8;0;346034;2002743;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;;0;0;0;44479;0;0;;0;0;8906;0;1;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;346884
44797;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;345584;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;346285;3003775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44483;0;0;0;0;0;8906;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;347136
44828;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;345834;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;346536;4004797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44486;0;0;0;0;0;8906;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;347389
44828;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;346085;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;346788;5005827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;347639
44828;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;346335;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;347039;6006854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;347889
44828;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;346585;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;347290;7007880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;348139
44828;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;346835;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;347541;8008896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;348390
44828;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;347086;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;347793;9009935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;348640
44828;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;347336;0;0;8907;0;0;0;1;0;0;0;0;0;0;3;15;0;0;0;0;0;0;8;0;348044;10010952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44487;0;0;0;0;0;8906;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;348890
