PIN_Posted-interrupt_notification_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;PMI_Performance_monitoring_interrupts_CPU2;32_PCI-MSI_65536-edge_virtio2-config_CPU1;CAL_Function_call_interrupts_CPU1;25_PCI-MSI_32769-edge_virtio0-input.0_CPU0;30_PCI-MSI_81920-edge_virtio3-config_CPU0;1_IO-APIC_1-edge_i8042_CPU2;LOC_Local_timer_interrupts_CPU2;28_PCI-MSI_49153-edge_virtio1-input.0_CPU0;12_IO-APIC_12-edge_i8042_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;29_PCI-MSI_49154-edge_virtio1-output.0_CPU0;MCP_Machine_check_polls_CPU0;TLB_TLB_shootdowns_CPU1;33_PCI-MSI_65537-edge_virtio2-input.0_CPU2;10_IO-APIC_10-fasteoi_virtio4_CPU0;TLB_TLB_shootdowns_CPU0;6_IO-APIC_6-edge_floppy_CPU2;MCP_Machine_check_polls_CPU2;29_PCI-MSI_49154-edge_virtio1-output.0_CPU1;MCP_Machine_check_polls_CPU1;1_IO-APIC_1-edge_i8042_CPU1;24_PCI-MSI_32768-edge_virtio0-config_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;24_PCI-MSI_32768-edge_virtio0-config_CPU1;33_PCI-MSI_65537-edge_virtio2-input.0_CPU1;PIN_Posted-interrupt_notification_event_CPU0;34_PCI-MSI_65538-edge_virtio2-output.0_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU1;NPI_Nested_posted-interrupt_event_CPU0;27_PCI-MSI_49152-edge_virtio1-config_CPU1;29_PCI-MSI_49154-edge_virtio1-output.0_CPU2;24_PCI-MSI_32768-edge_virtio0-config_CPU2;RES_Rescheduling_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;27_PCI-MSI_49152-edge_virtio1-config_CPU0;THR_Threshold_APIC_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;ERR_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;31_PCI-MSI_81921-edge_virtio3-virtqueues_CPU1;NPI_Nested_posted-interrupt_event_CPU1;NMI_Non-maskable_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;IWI_IRQ_work_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU0;25_PCI-MSI_32769-edge_virtio0-input.0_CPU1;33_PCI-MSI_65537-edge_virtio2-input.0_CPU0;RES_Rescheduling_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;LOC_Local_timer_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;PIN_Posted-interrupt_notification_event_CPU1;TRM_Thermal_event_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio4_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;timestamp_us;9_IO-APIC_9-fasteoi_acpi_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;34_PCI-MSI_65538-edge_virtio2-output.0_CPU0;30_PCI-MSI_81920-edge_virtio3-config_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;26_PCI-MSI_32770-edge_virtio0-output.0_CPU0;THR_Threshold_APIC_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio3-virtqueues_CPU0;30_PCI-MSI_81920-edge_virtio3-config_CPU2;RES_Rescheduling_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;NPI_Nested_posted-interrupt_event_CPU2;RTR_APIC_ICR_read_retries_CPU0;25_PCI-MSI_32769-edge_virtio0-input.0_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio3-virtqueues_CPU2;TRM_Thermal_event_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;28_PCI-MSI_49153-edge_virtio1-input.0_CPU1;NMI_Non-maskable_interrupts_CPU1;26_PCI-MSI_32770-edge_virtio0-output.0_CPU2;34_PCI-MSI_65538-edge_virtio2-output.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU1;TLB_TLB_shootdowns_CPU2;27_PCI-MSI_49152-edge_virtio1-config_CPU2;SPU_Spurious_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;6_IO-APIC_6-edge_floppy_CPU1;32_PCI-MSI_65536-edge_virtio2-config_CPU2;THR_Threshold_APIC_interrupts_CPU0;MIS_CPU0;32_PCI-MSI_65536-edge_virtio2-config_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio4_CPU1;RTR_APIC_ICR_read_retries_CPU2;1_IO-APIC_1-edge_i8042_CPU0;26_PCI-MSI_32770-edge_virtio0-output.0_CPU1;CAL_Function_call_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;28_PCI-MSI_49153-edge_virtio1-input.0_CPU2;PMI_Performance_monitoring_interrupts_CPU0
0;0;0;0;0;0;0;8764;44689;0;0;394396;2;0;0;7358600;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842205;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542828;15;0;0;240417;0;0;0;0;0;73;0;0;1;0;0;0;0;0;3;0;157051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394403;2;0;0;7358608;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842207;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542829;15;0;0;240427;0;0;0;0;0;1001808;0;0;1;0;0;0;0;0;3;0;157054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394407;2;0;0;7358612;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842210;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542831;15;0;0;240428;0;0;0;0;0;2002724;0;0;1;0;0;0;0;0;3;0;157055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394532;2;0;0;7358999;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842224;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542847;15;0;0;240455;0;0;0;0;0;3003914;0;0;1;0;0;0;0;0;3;0;157063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394534;2;0;0;7359902;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842228;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542847;15;0;0;240456;0;0;0;0;0;4005062;0;0;1;0;0;0;0;0;3;0;157064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394536;2;0;0;7360771;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842229;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542848;15;0;0;240457;0;0;0;0;0;5006181;0;0;1;0;0;0;0;0;3;0;157064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394539;2;0;0;7361642;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842229;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542850;15;0;0;240459;0;0;0;0;0;6007322;0;0;1;0;0;0;0;0;3;0;157064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44689;0;0;394547;2;0;0;7362509;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842230;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542850;15;0;0;240460;0;0;0;0;0;7008452;0;0;1;0;0;0;0;0;3;0;157065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44693;0;0;394623;2;0;0;7363382;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842234;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542854;15;0;0;240467;0;0;0;0;0;8009613;0;0;1;0;0;0;0;0;3;0;157065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44696;0;0;394658;2;0;0;7364249;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079527;0;0;0;0;0;0;0;1082;0;842235;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542859;15;0;0;240529;0;0;0;0;0;9010753;0;0;1;0;0;0;0;0;3;0;157065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;692;0
0;0;0;0;0;0;0;8764;44696;0;0;394661;2;0;0;7365114;0;31;655;1;0;22;2;31;1;31;0;0;0;0;0;0;143079529;0;0;0;0;0;0;0;1082;0;842238;0;0;0;0;9933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1542859;15;0;0;240531;0;0;0;0;0;10011903;0;0;1;0;0;0;0;0;3;0;157068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;9;1;7842;0;695;0
