9_IO-APIC_9-fasteoi_acpi_CPU0;RTR_APIC_ICR_read_retries_CPU2;MCP_Machine_check_polls_CPU0;MCE_Machine_check_exceptions_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;1_IO-APIC_1-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;LOC_Local_timer_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;NPI_Nested_posted-interrupt_event_CPU0;PMI_Performance_monitoring_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;RES_Rescheduling_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;1_IO-APIC_1-edge_i8042_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;THR_Threshold_APIC_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TLB_TLB_shootdowns_CPU2;PIN_Posted-interrupt_notification_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU2;timestamp_us;30_PCI-MSI_81920-edge_virtio1-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;12_IO-APIC_12-edge_i8042_CPU0;NMI_Non-maskable_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;THR_Threshold_APIC_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;TLB_TLB_shootdowns_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;MCP_Machine_check_polls_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCE_Machine_check_exceptions_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;12_IO-APIC_12-edge_i8042_CPU2;6_IO-APIC_6-edge_floppy_CPU2;IWI_IRQ_work_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;CAL_Function_call_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;ERR_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;PIN_Posted-interrupt_notification_event_CPU0;TRM_Thermal_event_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;MCE_Machine_check_exceptions_CPU2;IWI_IRQ_work_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU1;LOC_Local_timer_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;PMI_Performance_monitoring_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;SPU_Spurious_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;MCP_Machine_check_polls_CPU1;SPU_Spurious_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;RTR_APIC_ICR_read_retries_CPU0;TRM_Thermal_event_interrupts_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;MIS_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;12_IO-APIC_12-edge_i8042_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;CAL_Function_call_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;RES_Rescheduling_interrupts_CPU1;TLB_TLB_shootdowns_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2
0;0;1;0;0;0;0;0;0;0;1472715;0;0;0;0;69424;2;0;0;0;48504;0;0;0;0;0;0;;1468681;106;0;0;15;0;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;;0;0;;0;;0;0;0;0;4940030;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;590;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1472967;0;0;0;0;69424;2;0;0;0;48504;0;0;0;0;0;0;;1468932;1001741;0;0;15;0;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;;0;0;;0;;0;0;0;0;4940280;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;590;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1473219;0;0;0;0;69425;2;0;0;0;48504;0;0;0;0;0;0;;1469184;2002754;0;0;15;0;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;;0;0;;0;;0;0;0;0;4940531;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;590;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1473470;0;0;0;0;69450;2;0;0;0;48504;0;0;0;0;0;0;;1469435;3003792;0;0;15;0;0;0;0;0;0;0;0;1;;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;;0;0;;0;;0;0;0;0;4940781;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1473722;0;0;0;0;69450;2;0;0;0;48504;0;0;0;0;0;0;0;1469686;4004818;0;0;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4941650;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1473974;0;0;0;0;69450;2;0;0;0;48504;0;0;0;0;0;0;0;1469937;5005847;0;0;15;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;4942805;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1474225;0;0;0;0;69450;2;0;0;0;48504;0;0;0;0;0;0;0;1470189;6006868;0;0;15;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;4943998;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1474476;0;0;0;0;69450;2;0;0;0;48505;0;0;0;0;0;0;0;1470440;7007895;0;0;15;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;4945191;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1474728;0;0;0;0;69480;2;0;0;0;48510;0;0;0;0;0;0;0;1470691;8008926;0;0;15;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;4946382;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1474981;0;0;0;0;69510;2;0;0;0;48513;0;0;0;0;0;0;0;1470942;9009952;0;0;15;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;4947574;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1475232;0;0;0;0;69510;2;0;0;0;48513;0;0;0;0;0;0;0;1471194;10010976;0;0;15;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;4948768;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1475483;0;0;0;0;69510;2;0;0;0;48513;0;0;0;0;0;0;0;1471445;11012002;0;0;15;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;4949961;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;593;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1475733;0;0;0;0;69510;2;0;0;0;48513;0;0;0;0;0;0;0;1471696;12013028;0;0;15;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;19;9207;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0;4951154;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;9206;9;0;0;0;594;0;0;0;0
