PIW_Posted-interrupt_wakeup_event_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;6_IO-APIC_6-edge_floppy_CPU1;IWI_IRQ_work_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU2;TLB_TLB_shootdowns_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;THR_Threshold_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU1;MCP_Machine_check_polls_CPU1;PIN_Posted-interrupt_notification_event_CPU0;1_IO-APIC_1-edge_i8042_CPU2;LOC_Local_timer_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;SPU_Spurious_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;NPI_Nested_posted-interrupt_event_CPU0;6_IO-APIC_6-edge_floppy_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;NMI_Non-maskable_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;RES_Rescheduling_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;RTR_APIC_ICR_read_retries_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;ERR_CPU0;CAL_Function_call_interrupts_CPU1;LOC_Local_timer_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;TRM_Thermal_event_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU0;TRM_Thermal_event_interrupts_CPU1;MCP_Machine_check_polls_CPU0;TRM_Thermal_event_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;RTR_APIC_ICR_read_retries_CPU2;LOC_Local_timer_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;TLB_TLB_shootdowns_CPU1;THR_Threshold_APIC_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;TLB_TLB_shootdowns_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;timestamp_us;DFR_Deferred_Error_APIC_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;NPI_Nested_posted-interrupt_event_CPU1;NMI_Non-maskable_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;PMI_Performance_monitoring_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;RES_Rescheduling_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;NPI_Nested_posted-interrupt_event_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU2;PMI_Performance_monitoring_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;MIS_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;PMI_Performance_monitoring_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCE_Machine_check_exceptions_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;PIN_Posted-interrupt_notification_event_CPU1;MCE_Machine_check_exceptions_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1
0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2113432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;46395;0;;3;0;0;0;;0;2;0;9207;772499;0;0;9;0;1;0;0;0;0;775751;0;0;0;0;0;0;15;0;0;111;0;0;1;0;0;0;0;0;61250;8;0;0;0;0;0;9206;0;0;;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2113682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;46395;0;;3;0;0;0;;0;2;0;9207;772751;0;0;9;0;1;0;0;0;0;776002;0;0;0;0;0;0;15;0;0;1001750;0;0;1;0;0;0;0;0;61250;8;0;0;0;0;0;9206;0;0;;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2113932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;46395;0;;3;0;0;0;;0;2;0;9207;773002;0;0;9;0;1;0;0;0;0;776254;0;0;0;0;0;0;15;0;0;2002769;0;0;1;0;0;0;0;0;61251;8;0;0;0;0;0;9206;0;0;;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2114182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46395;0;;3;0;0;0;;0;2;0;9207;773253;0;0;9;0;1;0;0;0;0;776506;0;0;0;0;0;0;15;0;0;3003805;0;0;1;0;0;0;0;0;61275;8;0;0;0;0;0;9206;0;0;;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2115042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46395;0;0;3;0;0;0;0;0;2;0;9207;773505;0;0;9;0;1;0;0;0;0;776758;0;0;0;0;0;0;15;0;0;4004846;0;0;1;0;0;0;0;0;61275;8;0;0;0;0;0;9206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2116199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46395;0;2;3;0;0;0;0;0;2;0;9207;773756;0;0;9;0;1;0;0;0;0;777009;0;0;0;0;0;0;15;0;0;5005876;0;0;1;0;0;0;0;0;61275;8;0;0;0;0;0;9206;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2117391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46395;0;2;3;0;0;0;0;0;2;0;9207;774007;0;0;9;0;1;0;0;0;0;777262;0;0;0;0;0;0;15;0;0;6006903;0;0;1;0;0;0;0;0;61277;8;0;0;0;0;0;9206;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2118585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46395;0;2;3;0;0;0;0;0;2;0;9207;774258;0;0;9;0;1;0;0;0;0;777513;0;0;0;0;0;0;15;0;0;7007917;0;0;1;0;0;0;0;0;61277;8;0;0;0;0;0;9206;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2119775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46400;0;2;3;0;0;0;0;0;2;0;9207;774510;0;0;9;0;1;0;0;0;0;777765;0;0;0;0;0;0;15;0;0;8008950;0;0;1;0;0;0;0;0;61307;8;0;0;0;0;0;9206;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2120967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46402;0;3;3;0;0;0;0;0;2;0;9207;774761;0;0;9;0;1;0;0;0;0;778017;0;0;0;0;0;0;15;0;0;9009979;0;0;1;0;0;0;0;0;61337;8;0;0;0;0;0;9206;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2122158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;0;46402;0;5;3;0;0;0;0;0;2;0;9207;775012;0;0;9;0;1;0;0;0;0;778269;0;0;0;0;0;0;15;0;0;10011006;0;0;1;0;0;0;0;0;61337;8;0;0;0;0;0;9206;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
