PMI_Performance_monitoring_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;TLB_TLB_shootdowns_CPU2;12_IO-APIC_12-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU0;MCP_Machine_check_polls_CPU1;NPI_Nested_posted-interrupt_event_CPU2;timestamp_us;HVS_Hyper-V_stimer0_interrupts_CPU2;CAL_Function_call_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;PIN_Posted-interrupt_notification_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;RES_Rescheduling_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;RTR_APIC_ICR_read_retries_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;1_IO-APIC_1-edge_i8042_CPU2;SPU_Spurious_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;6_IO-APIC_6-edge_floppy_CPU0;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;TRM_Thermal_event_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;NMI_Non-maskable_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU2;TRM_Thermal_event_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;1_IO-APIC_1-edge_i8042_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIN_Posted-interrupt_notification_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;TRM_Thermal_event_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCP_Machine_check_polls_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MIS_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;SPU_Spurious_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU0;IWI_IRQ_work_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;ERR_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;LOC_Local_timer_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU2;TLB_TLB_shootdowns_CPU1;IWI_IRQ_work_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;RES_Rescheduling_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;THR_Threshold_APIC_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;MCE_Machine_check_exceptions_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;THR_Threshold_APIC_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;12_IO-APIC_12-edge_i8042_CPU2;MCE_Machine_check_exceptions_CPU2;1_IO-APIC_1-edge_i8042_CPU1;RES_Rescheduling_interrupts_CPU2;MCP_Machine_check_polls_CPU0
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;102;0;9206;0;0;0;9207;0;0;0;0;;0;0;222;0;;0;0;0;0;0;0;2;0;0;0;823280;0;0;0;0;0;0;0;15;9;0;;0;0;0;0;819964;0;1;0;0;46522;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2301416;0;0;0;0;0;0;0;0;61795;0;0;0;;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1001760;0;9206;0;0;0;9207;0;0;0;0;;0;0;222;0;;0;0;0;0;0;0;2;0;0;0;823533;0;0;0;0;0;0;0;15;9;0;;0;0;0;0;820215;0;1;0;0;46522;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2301667;0;0;0;0;0;0;0;0;61795;0;0;0;;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2002775;0;9206;0;0;0;9207;0;0;0;0;;0;0;222;0;;0;0;0;0;0;0;2;0;0;0;823785;0;0;0;0;0;0;0;15;9;0;;0;0;0;0;820467;0;1;0;0;46522;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2301917;0;0;0;0;0;0;0;0;61796;0;0;0;;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;3003814;0;9206;0;0;0;9207;0;0;0;0;;0;0;225;0;;0;0;0;0;0;0;2;0;0;0;824036;0;0;0;0;0;0;0;15;9;0;;0;0;0;0;820718;0;1;0;0;46522;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2302167;0;0;0;0;0;0;0;0;61820;0;0;0;;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4004841;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;0;0;0;0;0;0;0;2;0;0;0;824288;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;820969;0;1;0;0;46522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2303039;0;0;0;0;0;0;0;0;61820;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;5005865;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;2;0;0;0;0;0;0;2;0;0;0;824540;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;821220;0;1;0;0;46522;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304194;0;0;0;0;0;0;0;0;61820;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;6006889;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;2;0;0;0;0;0;0;2;0;0;0;824791;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;821472;0;1;0;0;46522;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2305386;0;0;0;0;0;0;0;0;61820;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;7007909;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;2;0;0;0;0;0;0;2;0;0;0;825042;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;821723;0;1;0;0;46522;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2306579;0;0;0;0;0;0;0;0;61820;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;8008942;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;2;0;0;0;0;0;0;2;0;0;0;825294;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;821974;0;1;0;0;46527;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2307771;0;0;0;0;0;0;0;0;61850;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;9009971;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;4;0;0;0;0;0;0;2;0;0;0;825547;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;822225;0;1;0;0;46530;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2308965;0;0;0;0;0;0;0;0;61881;0;0;0;0;0;0;0;0;3;0;0;0;10;1
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;10010995;0;9206;0;0;0;9207;0;0;0;0;0;0;0;225;0;5;0;0;0;0;0;0;2;0;0;0;825797;0;0;0;0;0;0;0;15;9;0;0;0;0;0;0;822477;0;1;0;0;46530;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2310160;0;0;0;0;0;0;0;0;61881;0;0;0;0;0;0;0;0;3;0;0;0;10;1
