34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;CAL_Function_call_interrupts_CPU0;SPU_Spurious_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;RES_Rescheduling_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;CAL_Function_call_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;1_IO-APIC_1-edge_i8042_CPU1;NMI_Non-maskable_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;MCP_Machine_check_polls_CPU0;LOC_Local_timer_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;MCE_Machine_check_exceptions_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;TRM_Thermal_event_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;12_IO-APIC_12-edge_i8042_CPU1;ERR_CPU0;MCP_Machine_check_polls_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;IWI_IRQ_work_interrupts_CPU1;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;TRM_Thermal_event_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;timestamp_us;NPI_Nested_posted-interrupt_event_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;NMI_Non-maskable_interrupts_CPU2;TLB_TLB_shootdowns_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;IWI_IRQ_work_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU0;MCP_Machine_check_polls_CPU1;PMI_Performance_monitoring_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU2;TLB_TLB_shootdowns_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;RTR_APIC_ICR_read_retries_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;MIS_CPU0;RTR_APIC_ICR_read_retries_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;TRM_Thermal_event_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;1_IO-APIC_1-edge_i8042_CPU2;6_IO-APIC_6-edge_floppy_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;6_IO-APIC_6-edge_floppy_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU0;PIN_Posted-interrupt_notification_event_CPU1;IWI_IRQ_work_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;MCE_Machine_check_exceptions_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;NMI_Non-maskable_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU0;CAL_Function_call_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;TLB_TLB_shootdowns_CPU2;HYP_Hypervisor_callback_interrupts_CPU1
0;0;0;45261;0;0;56905;0;;9207;0;0;0;0;0;1;614991;0;;15;1;0;0;0;;0;0;0;406519;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;101;0;;0;0;0;0;0;0;0;403750;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;;0;0;0;0;0;0
0;0;0;45261;0;0;56905;0;;9207;0;0;0;0;0;1;615241;0;;15;1;0;0;0;;0;0;0;406771;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;1001732;0;;0;0;0;0;0;0;0;404001;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;;0;0;0;0;0;0
0;0;0;45261;0;0;56906;0;;9207;0;0;0;0;0;1;615492;0;;15;1;0;0;0;;0;0;0;407023;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;2002748;0;;0;0;0;0;0;0;0;404253;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;;0;0;0;0;0;0
0;0;0;45261;0;0;56930;0;;9207;0;0;0;0;0;1;615742;0;;15;1;0;0;0;;0;0;0;407274;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;3003789;0;;0;0;0;0;0;0;0;404504;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;;0;0;0;0;0;0
0;0;0;45261;0;0;56930;0;0;9207;0;0;0;0;0;1;616608;0;0;15;1;0;0;0;0;0;0;0;407526;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;4004812;0;0;0;0;0;0;0;0;0;404755;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45261;0;0;56930;0;0;9207;0;0;0;0;0;1;617766;0;2;15;1;0;0;0;0;0;0;0;407778;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;5005838;0;2;0;0;0;0;0;0;0;405006;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45261;0;0;56930;0;0;9207;0;0;0;0;0;1;618957;0;2;15;1;0;0;0;0;0;0;0;408029;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;6006863;0;2;0;0;0;0;0;0;0;405258;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45261;0;0;56930;0;0;9207;0;0;0;0;0;1;620151;0;2;15;1;0;0;0;0;0;0;0;408280;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;7007887;0;2;0;0;0;0;0;0;0;405509;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45265;0;0;56960;0;0;9207;0;0;0;0;0;1;621345;0;2;15;1;0;0;0;0;0;0;0;408532;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;8008917;0;2;0;0;0;0;0;0;0;405760;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45268;0;0;56991;0;0;9207;0;0;0;0;0;1;622536;0;3;15;1;0;0;0;0;0;0;0;408785;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;9009943;0;3;0;0;0;0;0;0;0;406011;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
0;0;0;45268;0;0;56991;0;0;9207;0;0;0;0;0;1;623725;0;3;15;1;0;0;0;0;0;0;0;409037;0;0;0;1;0;0;0;0;0;5;9;0;0;0;0;0;0;10010969;0;4;0;0;0;0;0;0;0;406263;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;9206;0;0;0;0;0;0;0;0
