HVS_Hyper-V_stimer0_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;timestamp_us;9_IO-APIC_9-fasteoi_acpi_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU1;LOC_Local_timer_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;IWI_IRQ_work_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;6_IO-APIC_6-edge_floppy_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;MCP_Machine_check_polls_CPU2;SPU_Spurious_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;12_IO-APIC_12-edge_i8042_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;IWI_IRQ_work_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;NPI_Nested_posted-interrupt_event_CPU1;LOC_Local_timer_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU1;RTR_APIC_ICR_read_retries_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;MIS_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;RES_Rescheduling_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;12_IO-APIC_12-edge_i8042_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;SPU_Spurious_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;TRM_Thermal_event_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;MCE_Machine_check_exceptions_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;ERR_CPU0;SPU_Spurious_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;1_IO-APIC_1-edge_i8042_CPU1;MCP_Machine_check_polls_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;6_IO-APIC_6-edge_floppy_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;CAL_Function_call_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;TLB_TLB_shootdowns_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU2;PIN_Posted-interrupt_notification_event_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;RTR_APIC_ICR_read_retries_CPU2;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;THR_Threshold_APIC_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;TLB_TLB_shootdowns_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;PMI_Performance_monitoring_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU2;NMI_Non-maskable_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0
0;0;0;102;0;0;0;801321;0;0;0;0;0;0;0;0;2;;1;0;;1;0;0;45387;0;0;0;0;451329;5;0;0;0;1;0;0;;0;448510;0;57446;0;0;0;0;0;0;0;29;0;0;0;0;0;0;15;0;0;;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;;0;0;0;0;0;0;0;0;9207;0
0;0;0;1001763;0;0;0;801571;0;0;0;0;0;0;0;0;2;;1;0;;1;0;0;45387;0;0;0;0;451582;5;0;0;0;1;0;0;;0;448761;0;57446;0;0;0;0;0;0;0;29;0;0;0;0;0;0;15;0;0;;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;;0;0;0;0;0;0;0;0;9207;0
0;0;0;2002779;0;0;0;801822;0;0;0;0;0;0;0;0;2;;1;0;;1;0;0;45387;0;0;0;0;451834;5;0;0;0;1;0;0;;0;449012;0;57447;0;0;0;0;0;0;0;29;0;0;0;0;0;0;15;0;0;;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;;0;0;0;0;0;0;0;0;9207;0
0;0;0;3003816;0;0;0;802072;0;0;0;0;0;0;0;0;2;;1;0;;1;0;0;45387;0;0;0;0;452085;5;0;0;0;1;0;0;;0;449264;0;57471;0;0;0;0;0;0;0;32;0;0;0;0;0;0;15;0;0;;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;;0;0;0;0;0;0;0;0;9207;0
0;0;0;4004843;0;0;0;802943;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;45387;0;0;0;0;452337;5;0;0;0;1;0;0;0;0;449515;0;57471;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;5005871;0;0;0;804096;0;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;45387;0;0;0;0;452589;5;0;0;0;1;0;0;0;0;449766;0;57471;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;6006898;0;0;0;805288;0;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;45387;0;0;0;0;452840;5;0;0;0;1;0;0;0;0;450018;0;57471;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;7007913;0;0;0;806481;0;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;45387;0;0;0;0;453091;5;0;0;0;1;0;0;0;0;450269;0;57471;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;8008950;0;0;0;807674;0;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;45392;0;0;0;0;453343;5;0;0;0;1;0;0;0;0;450520;0;57501;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;9009977;0;0;0;808868;0;0;0;0;0;0;0;0;2;0;1;0;4;1;0;0;45395;0;0;0;0;453596;5;0;0;0;1;0;0;0;0;450771;0;57532;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;10011000;0;0;0;810063;0;0;0;0;0;0;0;0;2;0;1;0;4;1;0;0;45395;0;0;0;0;453847;5;0;0;0;1;0;0;0;0;451023;0;57532;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;11012026;0;0;0;811257;0;0;0;0;0;0;0;0;2;0;1;0;5;1;0;0;45395;0;0;0;0;454098;5;0;0;0;1;0;0;0;0;451274;0;57532;0;0;0;0;0;0;0;33;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
0;0;0;12013051;0;0;0;812451;0;0;0;0;0;0;0;0;2;0;1;0;6;1;0;0;45395;0;0;0;0;454348;5;0;0;0;1;0;0;0;0;451525;0;57532;0;0;0;0;0;0;0;34;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;9206;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;9207;0
