ERR_CPU0;TLB_TLB_shootdowns_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU1;PIN_Posted-interrupt_notification_event_CPU2;RES_Rescheduling_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;32_PCI-MSI_32768-edge_virtio0-config_CPU0;1_IO-APIC_1-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;RTR_APIC_ICR_read_retries_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;LOC_Local_timer_interrupts_CPU2;MCP_Machine_check_polls_CPU2;NPI_Nested_posted-interrupt_event_CPU2;PMI_Performance_monitoring_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;NMI_Non-maskable_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU1;CAL_Function_call_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;1_IO-APIC_1-edge_i8042_CPU2;RES_Rescheduling_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;NPI_Nested_posted-interrupt_event_CPU0;IWI_IRQ_work_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;RES_Rescheduling_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;PIN_Posted-interrupt_notification_event_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;NMI_Non-maskable_interrupts_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;MCE_Machine_check_exceptions_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;CAL_Function_call_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;LOC_Local_timer_interrupts_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;IWI_IRQ_work_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;timestamp_us;15_IO-APIC_15-edge_ata_piix_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;TRM_Thermal_event_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;6_IO-APIC_6-edge_floppy_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;TLB_TLB_shootdowns_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;MCE_Machine_check_exceptions_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;TLB_TLB_shootdowns_CPU1;IWI_IRQ_work_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU0;1_IO-APIC_1-edge_i8042_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;MIS_CPU0;12_IO-APIC_12-edge_i8042_CPU2;6_IO-APIC_6-edge_floppy_CPU2;MCE_Machine_check_exceptions_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;SPU_Spurious_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU2;6_IO-APIC_6-edge_floppy_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;MCP_Machine_check_polls_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;LOC_Local_timer_interrupts_CPU0;SPU_Spurious_interrupts_CPU0;MCP_Machine_check_polls_CPU0;HYP_Hypervisor_callback_interrupts_CPU0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;585280;1;0;0;0;;0;0;0;9206;0;0;0;59073;0;0;0;0;0;;0;0;0;83;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1361765;0;0;0;0;97;0;0;0;0;0;2;;0;0;0;0;;0;0;0;0;0;0;0;15;0;3;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;588279;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;585531;1;0;0;0;;0;0;0;9206;0;0;0;59073;0;0;0;0;0;;0;0;0;83;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1362015;0;0;0;0;1001727;0;0;0;0;0;2;;0;0;0;0;;0;0;0;0;0;0;0;15;0;3;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;588531;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;585782;1;0;0;0;;0;0;0;9206;0;0;0;59074;0;0;0;0;0;;0;0;0;83;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1362266;0;0;0;0;2002744;0;0;0;0;0;2;;0;0;0;0;;0;0;0;0;0;0;0;15;0;3;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;588783;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;586034;1;0;0;0;;0;0;0;9206;0;0;0;59098;0;0;0;0;0;;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1362516;0;0;0;0;3003782;0;0;0;0;0;2;;0;0;0;0;;0;0;0;0;0;0;0;15;0;3;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;589034;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;586285;1;0;0;0;0;0;0;0;9206;0;0;0;59098;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1363394;0;0;0;0;4004806;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;589286;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;586536;1;0;0;0;0;0;0;0;9206;0;0;0;59098;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1364553;0;0;0;0;5005832;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;589538;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;586788;1;0;0;0;0;0;0;0;9206;0;0;0;59098;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1365746;0;0;0;0;6006868;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;589790;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;587039;1;0;0;0;0;0;0;0;9206;0;0;0;59098;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45811;9207;0;0;1366939;0;0;0;0;7007879;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;590041;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;587290;1;0;0;0;0;0;0;0;9206;0;0;0;59128;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45817;9207;0;0;1368132;0;0;0;0;8008907;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;590293;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;587541;1;0;0;0;0;0;0;0;9206;0;0;0;59159;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45820;9207;0;0;1369327;0;0;0;0;9009935;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;590545;0;1;0
0;0;0;0;6;0;0;9;0;0;0;0;0;0;0;0;0;587793;1;0;0;0;0;0;0;0;9206;0;0;0;59159;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;45820;9207;0;0;1370522;0;0;0;0;10010959;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;590796;0;1;0
