10_IO-APIC_10-fasteoi_virtio2_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;MCE_Machine_check_exceptions_CPU1;CAL_Function_call_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU0;MCP_Machine_check_polls_CPU0;IWI_IRQ_work_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;12_IO-APIC_12-edge_i8042_CPU0;PMI_Performance_monitoring_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;NPI_Nested_posted-interrupt_event_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;12_IO-APIC_12-edge_i8042_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;MCP_Machine_check_polls_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;TLB_TLB_shootdowns_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;6_IO-APIC_6-edge_floppy_CPU1;PIN_Posted-interrupt_notification_event_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;SPU_Spurious_interrupts_CPU1;TLB_TLB_shootdowns_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;RES_Rescheduling_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;IWI_IRQ_work_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;MCP_Machine_check_polls_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;NPI_Nested_posted-interrupt_event_CPU0;PIN_Posted-interrupt_notification_event_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU0;PMI_Performance_monitoring_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;30_PCI-MSI_81920-edge_virtio1-config_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU0;LOC_Local_timer_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;12_IO-APIC_12-edge_i8042_CPU2;IWI_IRQ_work_interrupts_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU2;THR_Threshold_APIC_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;timestamp_us;14_IO-APIC_14-edge_ata_piix_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU1;RTR_APIC_ICR_read_retries_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;TRM_Thermal_event_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;SPU_Spurious_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;RES_Rescheduling_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;NPI_Nested_posted-interrupt_event_CPU1;6_IO-APIC_6-edge_floppy_CPU2;LOC_Local_timer_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;RTR_APIC_ICR_read_retries_CPU2;MIS_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;TRM_Thermal_event_interrupts_CPU2;RES_Rescheduling_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;NMI_Non-maskable_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;NMI_Non-maskable_interrupts_CPU0;CAL_Function_call_interrupts_CPU0;ERR_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1
0;0;0;9206;0;1;0;0;15;0;0;0;;0;0;;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;3;59618;2;0;0;;0;0;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;631669;0;0;45965;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;9207;115;0;0;0;0;1550221;634731;0;0;0;0;0;0;0;0;8;0;;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;;0;0;;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;3;59618;2;0;0;;0;0;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;631920;0;0;45965;0;0;0;0;0;0;0;1001773;0;0;0;0;0;0;0;0;9207;115;0;0;0;0;1550471;634984;0;0;0;0;0;0;0;0;8;0;;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;;0;0;;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;3;59619;2;0;0;;0;0;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;632172;0;0;45965;0;0;0;0;0;0;0;2002807;0;0;0;0;0;0;0;0;9207;115;0;0;0;0;1550722;635236;0;0;0;0;0;0;0;0;8;0;;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;;0;0;;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;3;59643;2;0;0;;0;0;0;0;0;1;0;0;0;1;0;0;;0;0;0;0;0;632423;0;0;45965;0;0;0;0;0;0;0;3003826;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1550972;635487;0;0;0;0;0;0;0;0;8;0;;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59643;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;632674;0;0;45965;0;0;0;0;0;0;0;4004852;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1551847;635739;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59643;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;632925;0;0;45965;0;0;0;0;0;0;0;5005884;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1553007;635991;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59643;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;633177;0;0;45965;0;0;0;0;0;0;0;6006899;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1554199;636242;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59643;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;633428;0;0;45965;0;0;0;0;0;0;0;7007915;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1555393;636492;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59673;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;633679;0;0;45969;0;0;0;0;0;0;0;8008956;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1556587;636743;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;633930;0;0;45972;0;0;0;0;0;0;0;9009983;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1557779;636996;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;634182;0;0;45972;0;0;0;0;0;0;0;10011009;0;0;0;0;0;0;0;0;9207;120;0;0;0;0;1558975;637246;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;0;0;0;0;0;634433;0;0;45972;0;0;0;0;0;0;0;11012037;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1560170;637497;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;634684;0;0;45972;0;0;0;0;0;0;0;12013063;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1561362;637748;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;634935;0;0;45972;0;0;0;0;0;0;0;13014073;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1562555;638000;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;635187;0;0;45972;0;0;0;0;0;0;0;14015099;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1563744;638251;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;635438;0;0;45972;0;0;0;0;0;0;0;15016115;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1564937;638502;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;635689;0;0;45972;0;0;0;0;0;0;0;16017135;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1566130;638753;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;635940;0;0;45972;0;0;0;0;0;0;0;17018159;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1567324;639005;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;636192;0;0;45972;0;0;0;0;0;0;0;18019178;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1568517;639256;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;636443;0;0;45972;0;0;0;0;0;0;0;19020207;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1569711;639507;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;636694;0;0;45972;0;0;0;0;0;0;0;20021230;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1570902;639758;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;636945;0;0;45972;0;0;0;0;0;0;0;21022250;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1572097;640012;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;637197;0;0;45972;0;0;0;0;0;0;0;22023270;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1573290;640263;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59704;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;637448;0;0;45972;0;0;0;0;0;0;0;23024294;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1574484;640514;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59706;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;637699;0;0;45974;0;0;0;0;0;0;0;24025328;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1575678;640765;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;637950;0;0;45977;0;0;0;0;0;0;0;25026355;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1576870;641018;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;638202;0;0;45977;0;0;0;0;0;0;0;26027381;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1578064;641270;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;638453;0;0;45977;0;0;0;0;0;0;0;27028396;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1579258;641522;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;638704;0;0;45977;0;0;0;0;0;0;0;28029413;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1580452;641774;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;638955;0;0;45977;0;0;0;0;0;0;0;29030448;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1581647;642025;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;639207;0;0;45977;0;0;0;0;0;0;0;30031464;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1582841;642276;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;639458;0;0;45977;0;0;0;0;0;0;0;31032484;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1584034;642528;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59737;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;639709;0;0;45978;0;0;0;0;0;0;0;32033530;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1585228;642780;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59739;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;639960;0;0;45979;0;0;0;0;0;0;0;33034560;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1586422;643031;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;640212;0;0;45982;0;0;0;0;0;0;0;34035589;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1587615;643283;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;640463;0;0;45982;0;0;0;0;0;0;0;35036603;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1588808;643534;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;640714;0;0;45982;0;0;0;0;0;0;0;36037622;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1590001;643786;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;640965;0;0;45982;0;0;0;0;0;0;0;37038641;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1591196;644036;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;641217;0;0;45982;0;0;0;0;0;0;0;38039667;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1592391;644286;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;641468;0;0;45982;0;0;0;0;0;0;0;39040682;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1593585;644537;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
0;0;0;9206;0;1;0;0;15;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;59769;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;0;0;0;0;0;641719;0;0;45982;0;0;0;0;0;0;0;40041701;0;0;0;0;0;0;0;0;9207;121;0;0;0;0;1594779;644789;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0
