14_IO-APIC_14-edge_ata_piix_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;LOC_Local_timer_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;ERR_CPU0;TRM_Thermal_event_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;NMI_Non-maskable_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;HYP_Hypervisor_callback_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;NMI_Non-maskable_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;SPU_Spurious_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;1_IO-APIC_1-edge_i8042_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;6_IO-APIC_6-edge_floppy_CPU1;THR_Threshold_APIC_interrupts_CPU0;MCP_Machine_check_polls_CPU1;timestamp_us;34_PCI-MSI_32770-edge_virtio0-output.0_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;12_IO-APIC_12-edge_i8042_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;33_PCI-MSI_32769-edge_virtio0-input.0_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU0;1_IO-APIC_1-edge_i8042_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;30_PCI-MSI_81920-edge_virtio1-config_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU0;6_IO-APIC_6-edge_floppy_CPU2;PMI_Performance_monitoring_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;15_IO-APIC_15-edge_ata_piix_CPU2;NMI_Non-maskable_interrupts_CPU2;CAL_Function_call_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;NPI_Nested_posted-interrupt_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU1;TLB_TLB_shootdowns_CPU1;CAL_Function_call_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU0;32_PCI-MSI_32768-edge_virtio0-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;LOC_Local_timer_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;MCP_Machine_check_polls_CPU0;PIN_Posted-interrupt_notification_event_CPU0;TRM_Thermal_event_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;30_PCI-MSI_81920-edge_virtio1-config_CPU1;IWI_IRQ_work_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;NPI_Nested_posted-interrupt_event_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;PMI_Performance_monitoring_interrupts_CPU0;IWI_IRQ_work_interrupts_CPU2;33_PCI-MSI_32769-edge_virtio0-input.0_CPU0;NPI_Nested_posted-interrupt_event_CPU2;34_PCI-MSI_32770-edge_virtio0-output.0_CPU2;32_PCI-MSI_32768-edge_virtio0-config_CPU1;RTR_APIC_ICR_read_retries_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0;MCE_Machine_check_exceptions_CPU2;MIS_CPU0;RES_Rescheduling_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;RES_Rescheduling_interrupts_CPU1;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;31_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCP_Machine_check_polls_CPU2;TLB_TLB_shootdowns_CPU2;LOC_Local_timer_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;SPU_Spurious_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU1;TLB_TLB_shootdowns_CPU0;12_IO-APIC_12-edge_i8042_CPU0;33_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PIN_Posted-interrupt_notification_event_CPU2;RES_Rescheduling_interrupts_CPU2;MCE_Machine_check_exceptions_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1
0;0;681658;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;;0;0;0;0;;0;0;1;105;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;0;2;0;0;0;0;9206;0;0;0;1737739;0;1;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;46091;0;0;0;0;0;0;0;60163;0;129;3;0;1;0;678535;0;0;;0;0;15;0;0;8;0;0;0;0;0
0;0;681909;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;;0;0;0;0;;0;0;1;1001767;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;0;2;0;0;0;0;9206;0;0;0;1737990;0;1;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;46091;0;0;0;0;0;0;0;60163;0;129;3;0;1;0;678787;0;0;;0;0;15;0;0;8;0;0;0;0;0
0;0;682161;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;;0;0;0;0;;0;0;1;2002784;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;0;2;0;0;0;0;9206;0;0;0;1738240;0;1;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;46091;0;0;0;0;0;0;0;60164;0;129;3;0;1;0;679038;0;0;;0;0;15;0;0;8;0;0;0;0;0
0;0;682413;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;;0;0;0;0;;0;0;1;3003823;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;0;2;0;0;0;0;9206;0;0;0;1738490;0;1;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;46091;0;0;0;0;0;0;0;60188;0;133;3;0;1;0;679289;0;0;;0;0;15;0;0;8;0;0;0;0;0
0;0;682666;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1;4004848;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1739357;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46091;0;0;0;0;0;0;0;60189;0;134;3;0;1;0;679540;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;682917;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;1;5005878;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1740513;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;46091;0;0;0;0;0;0;0;60189;0;134;3;0;1;0;679792;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;683168;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;1;6006894;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1741706;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;46091;0;0;0;0;0;0;0;60189;0;134;3;0;1;0;680043;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;683422;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;1;7007928;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1742901;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;46093;0;0;0;0;0;0;0;60189;0;134;3;0;1;0;680294;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;683674;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;1;8008957;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1744096;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;46098;0;0;0;0;0;0;0;60219;0;134;3;0;1;0;680545;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;683926;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;0;1;9009985;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1745290;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;46101;0;0;0;0;0;0;0;60250;0;134;3;0;1;0;680797;0;0;0;0;0;15;0;0;8;0;0;0;0;0
0;0;684177;0;0;0;0;0;0;0;9207;0;0;0;9;0;0;0;0;0;0;0;0;0;5;0;0;1;10011006;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;9206;0;0;0;1746484;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;46101;0;0;0;0;0;0;0;60250;0;134;3;0;1;0;681048;0;0;0;0;0;15;0;0;8;0;0;0;0;0
