TLB_TLB_shootdowns_CPU1;SPU_Spurious_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU0;NPI_Nested_posted-interrupt_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;MCP_Machine_check_polls_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;THR_Threshold_APIC_interrupts_CPU0;ERR_CPU0;CAL_Function_call_interrupts_CPU2;MCP_Machine_check_polls_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;NPI_Nested_posted-interrupt_event_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU1;RTR_APIC_ICR_read_retries_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;RES_Rescheduling_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;1_IO-APIC_1-edge_i8042_CPU1;6_IO-APIC_6-edge_floppy_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;RTR_APIC_ICR_read_retries_CPU1;NMI_Non-maskable_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU0;MCE_Machine_check_exceptions_CPU1;PIN_Posted-interrupt_notification_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RES_Rescheduling_interrupts_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;RES_Rescheduling_interrupts_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;IWI_IRQ_work_interrupts_CPU0;TLB_TLB_shootdowns_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU1;MCE_Machine_check_exceptions_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;CAL_Function_call_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;SPU_Spurious_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU2;15_IO-APIC_15-edge_ata_piix_CPU1;MCE_Machine_check_exceptions_CPU0;1_IO-APIC_1-edge_i8042_CPU0;1_IO-APIC_1-edge_i8042_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;IWI_IRQ_work_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;LOC_Local_timer_interrupts_CPU0;LOC_Local_timer_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;RTR_APIC_ICR_read_retries_CPU0;NMI_Non-maskable_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU0;PMI_Performance_monitoring_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU2;12_IO-APIC_12-edge_i8042_CPU2;MCP_Machine_check_polls_CPU2;NMI_Non-maskable_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;HYP_Hypervisor_callback_interrupts_CPU1;TLB_TLB_shootdowns_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;timestamp_us;TRM_Thermal_event_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU0;CAL_Function_call_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU2;TRM_Thermal_event_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU1;THR_Threshold_APIC_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU1;MIS_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2
0;0;0;0;0;0;1;0;0;0;0;0;9103;1;;0;0;0;0;0;56092;15;0;0;0;2;1;;0;0;;0;0;0;0;0;0;0;0;0;3;0;0;0;44369;0;0;0;0;0;9104;0;0;0;0;0;9;0;0;0;0;0;0;0;341624;338778;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;115;0;0;0;0;0;0;0;;0;;338793;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9103;1;;0;0;0;0;0;56092;15;0;0;0;2;1;;0;0;;0;0;0;0;0;0;0;0;0;3;0;0;0;44369;0;0;0;0;0;9104;0;0;0;0;0;9;0;0;0;0;0;0;0;341875;339030;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;1001756;0;0;0;0;0;0;0;;0;;339044;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9103;1;;0;0;0;0;0;56093;15;0;0;0;2;1;;0;0;;0;0;0;0;0;0;0;0;0;3;0;0;0;44369;0;0;0;0;0;9104;0;0;0;0;0;9;0;0;0;0;0;0;0;342127;339281;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;2002774;0;0;0;0;0;0;0;;0;;339294;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56124;15;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44369;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;342380;339532;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3003809;0;0;0;0;0;0;0;0;0;0;339721;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56124;15;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44369;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;342633;339783;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4004836;0;0;0;0;0;0;0;0;0;0;340916;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56124;15;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44371;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;342884;340035;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;5005861;0;0;0;0;0;0;0;0;0;0;342070;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56124;15;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44371;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;343136;340286;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;6006888;0;0;0;0;0;0;0;0;0;0;343264;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56124;15;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44371;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;343388;340537;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;7007909;0;0;0;0;0;0;0;0;0;0;344458;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56154;15;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44375;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;343640;340788;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;8008943;0;0;0;0;0;0;0;0;0;0;345653;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56185;15;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44378;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;343892;341040;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;9009970;0;0;0;0;0;0;0;0;0;0;346848;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;9188;1;0;0;0;0;0;0;56185;15;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;44378;0;0;0;0;0;9189;0;0;0;0;0;9;0;0;0;0;0;0;0;344143;341291;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;10010998;0;0;0;0;0;0;0;0;0;0;348041;0;0;0;0;0
