TLB_TLB_shootdowns_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU0;6_IO-APIC_6-edge_floppy_CPU1;TRM_Thermal_event_interrupts_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;IWI_IRQ_work_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;SPU_Spurious_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU0;TRM_Thermal_event_interrupts_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;MCP_Machine_check_polls_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;MCP_Machine_check_polls_CPU1;6_IO-APIC_6-edge_floppy_CPU2;MCE_Machine_check_exceptions_CPU0;ERR_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;LOC_Local_timer_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;14_IO-APIC_14-edge_ata_piix_CPU0;LOC_Local_timer_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU2;RTR_APIC_ICR_read_retries_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;NMI_Non-maskable_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;SPU_Spurious_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;MIS_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;RTR_APIC_ICR_read_retries_CPU0;PIN_Posted-interrupt_notification_event_CPU1;PMI_Performance_monitoring_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU2;NPI_Nested_posted-interrupt_event_CPU2;PIN_Posted-interrupt_notification_event_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;MCE_Machine_check_exceptions_CPU2;timestamp_us;RES_Rescheduling_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;RES_Rescheduling_interrupts_CPU0;RES_Rescheduling_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;1_IO-APIC_1-edge_i8042_CPU0;PIW_Posted-interrupt_wakeup_event_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;PMI_Performance_monitoring_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;IWI_IRQ_work_interrupts_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU2;TLB_TLB_shootdowns_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU1;MCE_Machine_check_exceptions_CPU1;12_IO-APIC_12-edge_i8042_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;1_IO-APIC_1-edge_i8042_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;CAL_Function_call_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;CAL_Function_call_interrupts_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;MCP_Machine_check_polls_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;NPI_Nested_posted-interrupt_event_CPU0;8_IO-APIC_8-edge_rtc0_CPU2;TRM_Thermal_event_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU0;RTR_APIC_ICR_read_retries_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;THR_Threshold_APIC_interrupts_CPU1
0;0;0;0;0;0;0;;;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;851617;0;0;2440160;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;107;165;0;0;62067;10;0;0;9;0;0;0;0;1;0;0;0;0;;0;;0;0;0;0;;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;855075;2;0;0;0;0;0;0
0;0;0;0;0;0;0;;;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;851868;0;0;2440410;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;1001798;165;0;0;62067;10;0;0;9;0;0;0;0;1;0;0;0;0;;0;;0;0;0;0;;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;855327;2;0;0;0;0;0;0
0;0;0;0;0;0;0;;;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;852120;0;0;2440661;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;2002815;165;0;0;62068;10;0;0;9;0;0;0;0;1;0;0;0;0;;0;;0;0;0;0;;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;855579;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;852371;0;0;2441187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3003856;168;0;0;62092;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;855830;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;852622;0;0;2442382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4004876;168;0;0;62092;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;856083;2;0;0;0;0;0;0
0;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;852873;0;0;2443537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5005908;168;0;0;62092;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;856335;2;0;0;0;0;0;0
0;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;853125;0;0;2444725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6006933;168;0;0;62092;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;856586;2;0;0;0;0;0;0
0;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45902;0;853376;0;0;2445913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7007951;168;0;0;62092;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;856836;2;0;0;0;0;0;0
0;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45906;0;853627;0;0;2447101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8008988;168;0;0;62122;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;857088;2;0;0;0;0;0;0
0;0;0;0;0;0;0;4;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45909;0;853878;0;0;2448291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9010017;168;0;0;62152;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;857341;2;0;0;0;0;0;0
0;0;0;0;0;0;0;4;0;0;0;15;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;45909;0;854130;0;0;2449479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10011041;168;0;0;62152;10;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9188;0;0;0;0;1;0;0;0;0;0;9189;0;857592;2;0;0;0;0;0;0
