SPU_Spurious_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;IWI_IRQ_work_interrupts_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;LOC_Local_timer_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU0;TLB_TLB_shootdowns_CPU2;THR_Threshold_APIC_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU2;ERR_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;12_IO-APIC_12-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU2;THR_Threshold_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;LOC_Local_timer_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;MIS_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;RES_Rescheduling_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU0;MCP_Machine_check_polls_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;MCP_Machine_check_polls_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU0;RTR_APIC_ICR_read_retries_CPU0;NMI_Non-maskable_interrupts_CPU2;CAL_Function_call_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;PIW_Posted-interrupt_wakeup_event_CPU0;NPI_Nested_posted-interrupt_event_CPU0;14_IO-APIC_14-edge_ata_piix_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;MCE_Machine_check_exceptions_CPU0;6_IO-APIC_6-edge_floppy_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;1_IO-APIC_1-edge_i8042_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU0;PMI_Performance_monitoring_interrupts_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NPI_Nested_posted-interrupt_event_CPU2;IWI_IRQ_work_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;NPI_Nested_posted-interrupt_event_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;12_IO-APIC_12-edge_i8042_CPU0;IWI_IRQ_work_interrupts_CPU0;PIN_Posted-interrupt_notification_event_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;PIW_Posted-interrupt_wakeup_event_CPU1;TRM_Thermal_event_interrupts_CPU2;1_IO-APIC_1-edge_i8042_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;6_IO-APIC_6-edge_floppy_CPU2;RES_Rescheduling_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1;12_IO-APIC_12-edge_i8042_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;timestamp_us;MCP_Machine_check_polls_CPU1;6_IO-APIC_6-edge_floppy_CPU0;RTR_APIC_ICR_read_retries_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU0;CAL_Function_call_interrupts_CPU0;TLB_TLB_shootdowns_CPU0;PIN_Posted-interrupt_notification_event_CPU2;1_IO-APIC_1-edge_i8042_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCE_Machine_check_exceptions_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;LOC_Local_timer_interrupts_CPU2;NMI_Non-maskable_interrupts_CPU1;PMI_Performance_monitoring_interrupts_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;SPU_Spurious_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU1;NMI_Non-maskable_interrupts_CPU0
0;0;0;0;0;5070833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69666;1503018;0;0;0;0;;0;1;17;0;0;1;0;0;1;;0;0;9189;0;0;0;0;0;0;0;0;0;;9;0;0;;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;356;0;0;0;0;110;1;2;0;0;0;0;0;0;0;0;;0;0;1498776;0;0;0;;0;0;0
0;0;0;0;0;5071084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69666;1503270;0;0;0;0;;0;1;17;0;0;1;0;0;1;;0;0;9189;0;0;0;0;0;0;0;0;0;;9;0;0;;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;356;0;0;0;0;1001759;1;2;0;0;0;0;0;0;0;0;;0;0;1499027;0;0;0;;0;0;0
0;0;0;0;0;5071334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69667;1503522;0;0;0;0;;0;1;17;0;0;1;0;0;1;;0;0;9189;0;0;0;0;0;0;0;0;0;;9;0;0;;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;356;0;0;0;0;2002777;1;2;0;0;0;0;0;0;0;0;;0;0;1499279;0;0;0;;0;0;0
0;0;0;0;0;5071857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69692;1503773;0;0;0;0;0;0;1;17;0;0;1;0;0;1;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;359;0;0;0;0;3003814;1;2;0;0;0;0;0;0;0;0;0;0;0;1499530;0;0;0;0;0;0;0
0;0;0;0;0;5073052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69692;1504025;0;0;0;0;0;0;1;17;0;0;1;0;0;1;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;359;0;0;0;0;4004838;1;2;0;0;0;0;0;0;0;0;0;0;0;1499781;0;0;0;0;0;0;0
0;0;0;0;0;5074205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69692;1504278;0;0;0;0;0;0;1;17;0;0;1;0;0;1;2;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;359;0;0;0;0;5005865;1;2;0;0;0;0;0;0;0;0;2;0;0;1500032;0;0;0;0;0;0;0
0;0;0;0;0;5075399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69692;1504529;0;0;0;0;0;0;1;17;0;0;1;0;0;1;2;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;359;0;0;0;0;6006882;1;2;0;0;0;0;0;0;0;0;2;0;0;1500284;0;0;0;0;0;0;0
0;0;0;0;0;5076593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69692;1504780;0;0;0;0;0;0;1;17;0;0;1;0;0;1;2;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47854;0;359;0;0;0;0;7007914;1;2;0;0;0;0;0;0;0;0;2;0;0;1500535;0;0;0;0;0;0;0
0;0;0;0;0;5077786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69722;1505033;0;0;0;0;0;0;1;17;0;0;1;0;0;1;2;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47859;0;359;0;0;0;0;8008945;1;2;0;0;0;0;0;0;0;0;2;0;0;1500786;0;0;0;0;0;0;0
0;0;0;0;0;5078980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69753;1505285;0;0;0;0;0;0;1;17;0;0;1;0;0;1;3;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47862;0;359;0;0;0;0;9009973;1;2;0;0;0;0;0;0;0;0;3;0;0;1501037;0;0;0;0;0;0;0
0;0;0;0;0;5080174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;0;0;0;69753;1505536;0;0;0;0;0;0;1;17;0;0;1;0;0;1;3;0;0;9189;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;47862;0;359;0;0;0;0;10011001;1;2;0;0;0;0;0;0;0;0;4;0;0;1501289;0;0;0;0;0;0;0
