1_IO-APIC_1-edge_i8042_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;15_IO-APIC_15-edge_ata_piix_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;RTR_APIC_ICR_read_retries_CPU0;12_IO-APIC_12-edge_i8042_CPU2;CAL_Function_call_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;LOC_Local_timer_interrupts_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU0;SPU_Spurious_interrupts_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;THR_Threshold_APIC_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU1;MCE_Machine_check_exceptions_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;NPI_Nested_posted-interrupt_event_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;TRM_Thermal_event_interrupts_CPU1;CAL_Function_call_interrupts_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;PIW_Posted-interrupt_wakeup_event_CPU2;SPU_Spurious_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;IWI_IRQ_work_interrupts_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU2;HYP_Hypervisor_callback_interrupts_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU0;PMI_Performance_monitoring_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;HRE_Hyper-V_reenlightenment_interrupts_CPU0;MCP_Machine_check_polls_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;6_IO-APIC_6-edge_floppy_CPU2;TRM_Thermal_event_interrupts_CPU2;12_IO-APIC_12-edge_i8042_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU1;LOC_Local_timer_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU1;MIS_CPU0;PMI_Performance_monitoring_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;PMI_Performance_monitoring_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;TLB_TLB_shootdowns_CPU0;CAL_Function_call_interrupts_CPU0;TLB_TLB_shootdowns_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU2;SPU_Spurious_interrupts_CPU0;timestamp_us;RTR_APIC_ICR_read_retries_CPU2;IWI_IRQ_work_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU0;8_IO-APIC_8-edge_rtc0_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;RTR_APIC_ICR_read_retries_CPU1;ERR_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;NMI_Non-maskable_interrupts_CPU0;THR_Threshold_APIC_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;MCE_Machine_check_exceptions_CPU2;MCP_Machine_check_polls_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;NMI_Non-maskable_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;6_IO-APIC_6-edge_floppy_CPU1;1_IO-APIC_1-edge_i8042_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU1;6_IO-APIC_6-edge_floppy_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;8_IO-APIC_8-edge_rtc0_CPU2;RES_Rescheduling_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;RES_Rescheduling_interrupts_CPU2;TLB_TLB_shootdowns_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;NMI_Non-maskable_interrupts_CPU2;PIN_Posted-interrupt_notification_event_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;LOC_Local_timer_interrupts_CPU2;14_IO-APIC_14-edge_ata_piix_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;NPI_Nested_posted-interrupt_event_CPU2;IWI_IRQ_work_interrupts_CPU0;MCP_Machine_check_polls_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;12_IO-APIC_12-edge_i8042_CPU0;PIN_Posted-interrupt_notification_event_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;TRM_Thermal_event_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU0
0;0;0;0;0;0;0;0;9188;0;0;434749;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;732970;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;9;0;;0;0;0;3;0;0;0;0;1;;0;0;;;0;0;0;2;1;0;0;57186;;3;0;0;0;0;0;431809;0;0;0;0;0;1;0;0;;15;0;44642;0;22;0
0;0;0;0;0;0;0;0;9188;0;0;435000;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;733221;0;0;0;0;0;0;0;0;0;0;0;0;0;1001743;0;0;9;0;;0;0;0;3;0;0;0;0;1;;0;0;;;0;0;0;2;1;0;0;57186;;3;0;0;0;0;0;432061;0;0;0;0;0;1;0;0;;15;0;44643;0;22;0
0;0;0;0;0;0;0;0;9188;0;0;435252;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;733471;0;0;0;0;0;0;0;0;0;0;0;0;0;2002760;0;0;9;0;;0;0;0;3;0;0;0;0;1;;0;0;;;0;0;0;2;1;0;0;57187;;3;0;0;0;0;0;432312;0;0;0;0;0;1;0;0;;15;0;44643;0;22;0
0;0;0;0;0;0;0;0;9188;0;0;435504;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;733981;0;0;0;0;0;0;0;0;0;0;0;0;0;3003801;0;0;9;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;57212;0;3;0;0;0;0;0;432563;0;0;0;0;0;1;0;0;0;15;0;44643;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;435756;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;735178;0;0;0;0;0;0;0;0;0;0;0;0;0;4004820;0;0;9;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;57212;0;3;0;0;0;0;0;432814;0;0;0;0;0;1;0;0;0;15;0;44643;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;436007;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;736328;0;0;0;0;0;0;0;0;0;0;0;0;0;5005850;0;0;9;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;2;1;0;0;57212;2;3;0;0;0;0;0;433066;0;0;0;0;0;1;0;0;0;15;0;44643;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;436258;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;737508;0;0;0;0;0;0;0;0;0;0;0;0;0;6006877;0;0;9;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;2;1;0;0;57212;2;3;0;0;0;0;0;433317;0;0;0;0;0;1;0;0;0;15;0;44643;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;436510;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;738693;0;0;0;0;0;0;0;0;0;0;0;0;0;7007895;0;0;9;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;2;1;0;0;57212;2;3;0;0;0;0;0;433568;0;0;0;0;0;1;0;0;0;15;0;44643;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;436763;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;739875;0;0;0;0;0;0;0;0;0;0;0;0;0;8008930;0;0;9;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;2;1;0;0;57243;2;3;0;0;0;0;0;433819;0;0;0;0;0;1;0;0;0;15;0;44647;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;437015;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;741057;0;0;0;0;0;0;0;0;0;0;0;0;0;9009957;0;0;9;0;0;0;0;0;3;0;0;0;0;1;3;0;0;0;0;0;0;0;2;1;0;0;57273;3;3;0;0;0;0;0;434071;0;0;0;0;0;1;0;0;0;15;0;44650;0;27;0
0;0;0;0;0;0;0;0;9188;0;0;437266;0;0;0;0;0;0;0;0;0;0;9189;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;742239;0;0;0;0;0;0;0;0;0;0;0;0;0;10010983;0;0;9;0;0;0;0;0;3;0;0;0;0;1;5;0;0;0;0;0;0;0;2;1;0;0;57273;3;3;0;0;0;0;0;434322;0;0;0;0;0;1;0;0;0;15;0;44650;0;27;0
