ERR_CPU0;HVS_Hyper-V_stimer0_interrupts_CPU2;MCE_Machine_check_exceptions_CPU1;SPU_Spurious_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU0;MCE_Machine_check_exceptions_CPU2;NMI_Non-maskable_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU0;1_IO-APIC_1-edge_i8042_CPU0;MIS_CPU0;PMI_Performance_monitoring_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;TRM_Thermal_event_interrupts_CPU2;HYP_Hypervisor_callback_interrupts_CPU2;30_PCI-MSI_32768-edge_virtio0-config_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU0;RTR_APIC_ICR_read_retries_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;NPI_Nested_posted-interrupt_event_CPU0;1_IO-APIC_1-edge_i8042_CPU2;14_IO-APIC_14-edge_ata_piix_CPU2;HRE_Hyper-V_reenlightenment_interrupts_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU2;timestamp_us;DFR_Deferred_Error_APIC_interrupts_CPU1;DFR_Deferred_Error_APIC_interrupts_CPU2;NPI_Nested_posted-interrupt_event_CPU2;HVS_Hyper-V_stimer0_interrupts_CPU1;HYP_Hypervisor_callback_interrupts_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU1;6_IO-APIC_6-edge_floppy_CPU1;IWI_IRQ_work_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU1;RTR_APIC_ICR_read_retries_CPU0;LOC_Local_timer_interrupts_CPU0;15_IO-APIC_15-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU2;LOC_Local_timer_interrupts_CPU2;TRM_Thermal_event_interrupts_CPU1;PIW_Posted-interrupt_wakeup_event_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;PIN_Posted-interrupt_notification_event_CPU1;IWI_IRQ_work_interrupts_CPU0;NPI_Nested_posted-interrupt_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU1;TLB_TLB_shootdowns_CPU1;33_PCI-MSI_81920-edge_virtio1-config_CPU1;6_IO-APIC_6-edge_floppy_CPU2;TRM_Thermal_event_interrupts_CPU0;SPU_Spurious_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;14_IO-APIC_14-edge_ata_piix_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;MCE_Machine_check_exceptions_CPU0;RES_Rescheduling_interrupts_CPU2;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;CAL_Function_call_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;14_IO-APIC_14-edge_ata_piix_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU2;TLB_TLB_shootdowns_CPU0;12_IO-APIC_12-edge_i8042_CPU1;MCP_Machine_check_polls_CPU2;PMI_Performance_monitoring_interrupts_CPU0;33_PCI-MSI_81920-edge_virtio1-config_CPU0;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1;LOC_Local_timer_interrupts_CPU1;MCP_Machine_check_polls_CPU1;RES_Rescheduling_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU0;1_IO-APIC_1-edge_i8042_CPU1;IWI_IRQ_work_interrupts_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;8_IO-APIC_8-edge_rtc0_CPU1;6_IO-APIC_6-edge_floppy_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;CAL_Function_call_interrupts_CPU1;SPU_Spurious_interrupts_CPU0;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;PIN_Posted-interrupt_notification_event_CPU2;MCP_Machine_check_polls_CPU0;8_IO-APIC_8-edge_rtc0_CPU0;12_IO-APIC_12-edge_i8042_CPU2;THR_Threshold_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU2;NMI_Non-maskable_interrupts_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;CAL_Function_call_interrupts_CPU2;24_PCI-MSI_49152-edge_igb_uio_CPU1;PMI_Performance_monitoring_interrupts_CPU1;RTR_APIC_ICR_read_retries_CPU1
0;0;0;0;;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;;0;479840;0;;476844;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;;0;44773;0;3;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;918117;1;70;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57725;0;0;0;3;9188;;0;0
0;0;0;0;;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1001751;0;0;0;0;0;0;0;0;0;;0;480092;0;;477096;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;;0;44773;0;3;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;918368;1;70;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57725;0;0;0;3;9188;;0;0
0;0;0;0;;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2002749;0;0;0;0;0;0;0;0;0;;0;480344;0;;477347;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;;0;44773;0;3;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;918618;1;70;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57726;0;0;0;3;9188;;0;0
0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3003790;0;0;0;0;0;0;0;0;0;0;0;480595;0;0;477598;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;44773;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;919134;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57751;0;0;0;3;9188;0;0;0
0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4004813;0;0;0;0;0;0;0;0;0;0;0;480848;0;0;477849;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;44773;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;920330;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57751;0;0;0;3;9188;0;0;0
0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5005842;0;0;0;0;0;0;0;0;0;0;0;481099;0;0;478101;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;0;44774;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;921484;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57751;0;0;0;3;9188;0;0;0
0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6006865;0;0;0;0;0;0;0;0;0;0;0;481350;0;0;478352;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;0;44774;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;922676;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57751;0;0;0;3;9188;0;0;0
0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7007886;0;0;0;0;0;0;0;0;0;0;0;481601;0;0;478603;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;0;44774;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;923869;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57751;0;0;0;3;9188;0;0;0
0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8008918;0;0;0;0;0;0;0;0;0;0;0;481855;0;0;478854;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;0;44779;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;925061;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57781;0;0;0;3;9188;0;0;0
0;0;0;0;3;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9009946;0;0;0;0;0;0;0;0;0;0;0;482107;0;0;479106;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;44782;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;926254;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57812;0;0;0;3;9188;0;0;0
0;0;0;0;4;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10010973;0;0;0;0;0;0;0;0;0;0;0;482357;0;0;479357;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;5;0;44782;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;927446;1;74;0;0;0;0;0;2;0;0;0;9189;0;0;0;1;0;0;0;57812;0;0;0;3;9188;0;0;0
