6_IO-APIC_6-edge_floppy_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU0;9_IO-APIC_9-fasteoi_acpi_CPU0;HYP_Hypervisor_callback_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU0;RES_Rescheduling_interrupts_CPU2;THR_Threshold_APIC_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU0;LOC_Local_timer_interrupts_CPU1;TRM_Thermal_event_interrupts_CPU2;MCE_Machine_check_exceptions_CPU2;PIW_Posted-interrupt_wakeup_event_CPU1;25_PCI-MSI_65536-edge_igb_uio_CPU0;MCP_Machine_check_polls_CPU2;IWI_IRQ_work_interrupts_CPU0;14_IO-APIC_14-edge_ata_piix_CPU0;ERR_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU0;10_IO-APIC_10-fasteoi_virtio2_CPU2;RTR_APIC_ICR_read_retries_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU1;1_IO-APIC_1-edge_i8042_CPU2;DFR_Deferred_Error_APIC_interrupts_CPU2;25_PCI-MSI_65536-edge_igb_uio_CPU2;PIW_Posted-interrupt_wakeup_event_CPU2;IWI_IRQ_work_interrupts_CPU2;8_IO-APIC_8-edge_rtc0_CPU0;25_PCI-MSI_65536-edge_igb_uio_CPU1;8_IO-APIC_8-edge_rtc0_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU1;10_IO-APIC_10-fasteoi_virtio2_CPU1;TLB_TLB_shootdowns_CPU0;PMI_Performance_monitoring_interrupts_CPU0;CAL_Function_call_interrupts_CPU2;timestamp_us;6_IO-APIC_6-edge_floppy_CPU2;RTR_APIC_ICR_read_retries_CPU1;RTR_APIC_ICR_read_retries_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU2;TLB_TLB_shootdowns_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU1;SPU_Spurious_interrupts_CPU1;MCE_Machine_check_exceptions_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU2;6_IO-APIC_6-edge_floppy_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU0;NPI_Nested_posted-interrupt_event_CPU2;9_IO-APIC_9-fasteoi_acpi_CPU1;TRM_Thermal_event_interrupts_CPU0;CAL_Function_call_interrupts_CPU1;PIN_Posted-interrupt_notification_event_CPU1;HYP_Hypervisor_callback_interrupts_CPU2;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU0;PIN_Posted-interrupt_notification_event_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU1;12_IO-APIC_12-edge_i8042_CPU0;24_PCI-MSI_49152-edge_igb_uio_CPU0;15_IO-APIC_15-edge_ata_piix_CPU2;NMI_Non-maskable_interrupts_CPU2;TLB_TLB_shootdowns_CPU2;PMI_Performance_monitoring_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU2;MCP_Machine_check_polls_CPU0;IWI_IRQ_work_interrupts_CPU1;THR_Threshold_APIC_interrupts_CPU2;10_IO-APIC_10-fasteoi_virtio2_CPU0;NMI_Non-maskable_interrupts_CPU0;NMI_Non-maskable_interrupts_CPU1;15_IO-APIC_15-edge_ata_piix_CPU1;14_IO-APIC_14-edge_ata_piix_CPU1;SPU_Spurious_interrupts_CPU0;HYP_Hypervisor_callback_interrupts_CPU0;12_IO-APIC_12-edge_i8042_CPU1;8_IO-APIC_8-edge_rtc0_CPU1;HVS_Hyper-V_stimer0_interrupts_CPU0;MIS_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU0;DFR_Deferred_Error_APIC_interrupts_CPU0;RES_Rescheduling_interrupts_CPU1;NPI_Nested_posted-interrupt_event_CPU1;30_PCI-MSI_32768-edge_virtio0-config_CPU1;9_IO-APIC_9-fasteoi_acpi_CPU2;MCE_Machine_check_exceptions_CPU0;TRM_Thermal_event_interrupts_CPU1;34_PCI-MSI_81921-edge_virtio1-virtqueues_CPU1;31_PCI-MSI_32769-edge_virtio0-input.0_CPU2;THR_Threshold_APIC_interrupts_CPU1;24_PCI-MSI_49152-edge_igb_uio_CPU1;NPI_Nested_posted-interrupt_event_CPU0;CAL_Function_call_interrupts_CPU0;HRE_Hyper-V_reenlightenment_interrupts_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU2;LOC_Local_timer_interrupts_CPU2;PMI_Performance_monitoring_interrupts_CPU2;PIW_Posted-interrupt_wakeup_event_CPU0;30_PCI-MSI_32768-edge_virtio0-config_CPU2;12_IO-APIC_12-edge_i8042_CPU2;LOC_Local_timer_interrupts_CPU0;1_IO-APIC_1-edge_i8042_CPU1;RES_Rescheduling_interrupts_CPU0;MCP_Machine_check_polls_CPU1;14_IO-APIC_14-edge_ata_piix_CPU2;PIN_Posted-interrupt_notification_event_CPU2;33_PCI-MSI_81920-edge_virtio1-config_CPU0;31_PCI-MSI_32769-edge_virtio0-input.0_CPU1;32_PCI-MSI_32770-edge_virtio0-output.0_CPU2;SPU_Spurious_interrupts_CPU2;32_PCI-MSI_32770-edge_virtio0-output.0_CPU1
2;0;0;0;0;3;0;9;1105152;0;0;0;;1;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;9188;138;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;82;0;0;0;0;0;0;0;0;;0;0;0;0;522231;0;0;0;0;525279;0;58266;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1105402;0;0;0;;1;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;9188;1001774;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;82;0;0;0;0;0;0;0;0;;0;0;0;0;522482;0;0;0;0;525531;0;58266;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1105653;0;0;0;;1;0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;9188;2002810;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;82;0;0;0;0;0;0;0;0;;0;0;0;0;522734;0;0;0;0;525783;0;58267;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1106176;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;3003834;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;522985;0;0;0;0;526035;0;58293;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1107372;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;4004849;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;523236;0;0;0;0;526286;0;58293;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1108529;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;5005883;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;523487;0;0;0;0;526538;0;58293;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1109722;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;6006905;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;523739;0;0;0;0;526789;0;58293;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1110916;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;7007928;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44924;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;523990;0;0;0;0;527041;0;58293;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1112104;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;8008962;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44928;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;524241;0;0;0;0;527293;0;58323;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1113294;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;9009989;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44931;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;524492;0;0;0;0;527546;0;58353;1;0;0;0;0;0;0;0
2;0;0;0;0;3;0;9;1114481;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9188;10011014;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9189;0;0;3;0;0;15;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44931;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;524744;0;0;0;0;527797;0;58353;1;0;0;0;0;0;0;0
